# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.099146152460565
# width : 0.10135666830970126
# blue_cutoff : 2.0484678183057143
# red_cutoff : 2.1498244866154153
#  
wavelength transmission
1.97 0.0000
1.971 0.0000
1.972 0.0001
1.973 0.000100177
1.974 0.000100398
1.975 0.00010062
1.976 0.000100841
1.977 0.000101063
1.978 0.000101285
1.979 0.000101506
1.98 0.000101728
1.981 0.000101949
1.982 0.000102171
1.983 0.000102392
1.984 0.000102614
1.985 0.000102836
1.986 0.000103057
1.987 0.000103279
1.988 0.0001035
1.989 0.000103722
1.99 0.000103943
1.991 0.000104165
1.992 0.000104387
1.993 0.000104608
1.994 0.00010483
1.995 0.000105051
1.996 0.000105273
1.997 0.000105494
1.998 0.000111061
1.999 0.000119736
2.0 0.000128412
2.001 0.000137087
2.002 0.000149576
2.003 0.000175822
2.004 0.000202068
2.005 0.000228314
2.006 0.00025456
2.007 0.000280806
2.008 0.000307051
2.009 0.000333297
2.01 0.000359543
2.011 0.000385789
2.012 0.000412035
2.013 0.000438281
2.014 0.000464527
2.015 0.000540908
2.016 0.000689645
2.017 0.000838381
2.018 0.000987118
2.019 0.00113585
2.02 0.00128459
2.021 0.00143333
2.022 0.00158206
2.023 0.0017308
2.024 0.00187954
2.025 0.00202827
2.026 0.00217701
2.027 0.00236427
2.028 0.00325727
2.029 0.00415028
2.03 0.00504328
2.031 0.00593629
2.032 0.00682929
2.033 0.0077223
2.034 0.0086153
2.035 0.00950831
2.036 0.0104439
2.037 0.0162512
2.038 0.0220585
2.039 0.0278658
2.04 0.0336731
2.041 0.0394804
2.042 0.0452877
2.043 0.0522671
2.044 0.0715582
2.045 0.0952568
2.046 0.119806
2.047 0.174347
2.048 0.257198
2.049 0.36496
2.05 0.519035
2.051 0.740543
2.052 0.837147
2.053 0.846562
2.054 0.854182
2.055 0.859235
2.056 0.861919
2.057 0.86454
2.058 0.866282
2.059 0.868025
2.06 0.869021
2.061 0.869544
2.062 0.86986
2.063 0.869079
2.064 0.868299
2.065 0.866688
2.066 0.864729
2.067 0.862552
2.068 0.859729
2.069 0.856905
2.07 0.853751
