# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.0586966081867706
# width : 0.062118407379264474
# blue_cutoff : 2.0276374044971384
# red_cutoff : 2.089755811876403
#  
wavelength transmission
1.950 0.0000
1.951 0.0000
1.952 0.0001
1.953 0.000100009
1.954 0.000100232
1.955 0.000100456
1.956 0.00010068
1.957 0.000100904
1.958 0.000101127
1.959 0.000101351
1.960 0.000101575
1.961 0.000101799
1.962 0.000102022
1.963 0.000102246
1.964 0.00010247
1.965 0.000102694
1.966 0.000102917
1.967 0.000103141
1.968 0.000103365
1.969 0.000103589
1.97 0.000103812
1.971 0.000104036
1.972 0.00010426
1.973 0.000104484
1.974 0.000104708
1.975 0.000104931
1.976 0.000105155
1.977 0.000105379
1.978 0.000106616
1.979 0.000115377
1.98 0.000124138
1.981 0.000132899
1.982 0.00014166
1.983 0.00016367
1.984 0.000190175
1.985 0.000216679
1.986 0.000243183
1.987 0.000269688
1.988 0.000296192
1.989 0.000322696
1.99 0.000349201
1.991 0.000375705
1.992 0.000402209
1.993 0.000428714
1.994 0.000455218
1.995 0.00048962
1.996 0.000639822
1.997 0.000790024
1.998 0.000940227
1.999 0.00109043
2.0 0.00124063
2.001 0.00139083
2.002 0.00154104
2.003 0.00169124
2.004 0.00184144
2.005 0.00199164
2.006 0.00214184
2.007 0.00229205
2.008 0.00306374
2.009 0.00396554
2.01 0.00486733
2.011 0.00576913
2.012 0.00667092
2.013 0.00757271
2.014 0.00847451
2.015 0.0093763
2.016 0.0102781
2.017 0.0155072
2.018 0.0213719
2.019 0.0272365
2.02 0.0331012
2.021 0.0389658
2.022 0.0448305
2.023 0.0516608
2.024 0.0701568
2.025 0.094089
2.026 0.118021
2.027 0.172734
2.028 0.255438
2.029 0.363789
2.03 0.519035
2.031 0.741765
2.032 0.838652
2.033 0.852132
2.034 0.860433
2.035 0.864822
2.036 0.867812
2.037 0.869331
2.038 0.869619
2.039 0.86828
2.04 0.865238
2.041 0.861265
2.042 0.85642
2.043 0.85088
2.044 0.845426
2.045 0.840179
2.046 0.835846
2.047 0.832711
2.048 0.830672
2.049 0.830222
2.05 0.831618
2.051 0.834166
2.052 0.837876
2.053 0.84289
2.054 0.848233
2.055 0.853783
2.056 0.859014
2.057 0.863432
2.058 0.867007
2.059 0.8692
2.06 0.869596
2.061 0.868743
2.062 0.86655
2.063 0.862591
2.064 0.857924
2.065 0.852658
2.066 0.847069
2.067 0.841838
2.068 0.837103
2.069 0.833393
2.07 0.831249
2.071 0.830316
2.072 0.830766
2.073 0.833252
2.074 0.836748
2.075 0.841171
2.076 0.846545
2.077 0.852037
2.078 0.85743
2.079 0.862274
2.08 0.865937
2.081 0.868559
2.082 0.869897
2.083 0.869144
2.084 0.86719
2.085 0.864079
2.086 0.859475
2.087 0.850112
2.088 0.824205
2.089 0.693894
2.09 0.537666
2.091 0.359849
2.092 0.244238
2.093 0.169718
2.094 0.120265
2.095 0.0956766
2.096 0.0759136
2.097 0.0620208
2.098 0.0499861
2.099 0.0443925
2.1 0.038799
2.101 0.0332054
2.102 0.0276119
2.103 0.0220183
2.104 0.0164248
2.105 0.0112432
2.106 0.0102478
2.107 0.00925234
2.108 0.00825691
2.109 0.00726148
2.11 0.00626605
2.111 0.00527061
2.112 0.00427518
2.113 0.00327975
2.114 0.00244089
2.115 0.00231094
2.116 0.00218099
2.117 0.00205103
2.118 0.00192108
2.119 0.00179113
2.12 0.00166118
2.121 0.00153122
2.122 0.00140127
2.123 0.00127132
2.124 0.00114137
2.125 0.00101141
2.126 0.000881462
2.127 0.00075151
2.128 0.000621558
2.129 0.000518033
2.13 0.000490684
2.131 0.000463336
2.132 0.000435988
2.133 0.000408639
2.134 0.000381291
2.135 0.000353943
2.136 0.000326594
2.137 0.000299246
2.138 0.000271898
2.139 0.000244549
2.14 0.000227218
2.141 0.000216922
2.142 0.000206626
2.143 0.00019633
2.144 0.000186035
2.145 0.000175739
2.146 0.000165443
2.147 0.000155147
2.148 0.000144852
2.149 0.000134667
2.15 0.000133661
2.151 0.000132655
2.152 0.000131649
2.153 0.000130644
2.154 0.000129638
2.155 0.000128632
2.156 0.000127626
2.157 0.00012662
2.158 0.000125614
2.159 0.000124608
2.16 0.000123603
2.161 0.000122597
2.162 0.000121591
2.163 0.000120585
2.164 0.000119579
2.165 0.000118573
2.166 0.000117567
2.167 0.000116561
2.168 0.000115556
2.169 0.00011455
2.17 0.000113544
2.171 0.000112538
2.172 0.000111532
2.173 0.000110526
2.174 0.00010952
2.175 0.000108515
2.176 0.000107509
2.177 0.000106503
2.178 0.000105497
2.179 0.000104491
2.18 0.000103485
2.181 0.000102479
2.182 0.000101473
2.183 0.000100468
2.184 0.0001
2.185 0.0000
2.186 0.0000
