# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.290408007863813
# width : 0.018907649514976723
# blue_cutoff : 1.2809541831063245
# red_cutoff : 1.2998618326213014
#  
wavelength transmission
1.227 0.0000
1.228 0.0000
1.229 0.0001
1.23 0.000100199
1.231 0.000100534
1.232 0.000100869
1.233 0.000101203
1.234 0.000101538
1.235 0.000101872
1.236 0.000102207
1.237 0.000102541
1.238 0.000102876
1.239 0.00010321
1.24 0.000103545
1.241 0.000103879
1.242 0.000104214
1.243 0.000104548
1.244 0.000104883
1.245 0.000105218
1.246 0.000117156
1.247 0.000130254
1.248 0.000147514
1.249 0.000187141
1.25 0.000226768
1.251 0.000266395
1.252 0.000306022
1.253 0.000345649
1.254 0.000385276
1.255 0.000424903
1.256 0.00049652
1.257 0.000721087
1.258 0.000945655
1.259 0.00117022
1.26 0.00139479
1.261 0.00161936
1.262 0.00184392
1.263 0.00206849
1.264 0.00282088
1.265 0.00416912
1.266 0.00551737
1.267 0.00686561
1.268 0.00821386
1.269 0.0095621
1.27 0.0170871
1.271 0.0258557
1.272 0.0346243
1.273 0.043393
1.274 0.0616325
1.275 0.0974149
1.276 0.161634
1.277 0.293384
1.278 0.518919
1.279 0.771
1.28 0.815521
1.281 0.81816
1.282 0.801179
1.283 0.783224
1.284 0.782899
1.285 0.801111
1.286 0.81782
1.287 0.815709
1.288 0.796603
1.289 0.781356
1.29 0.785863
1.291 0.805656
1.292 0.819239
1.293 0.8124
1.294 0.747814
1.295 0.506038
1.296 0.257966
1.297 0.145374
1.298 0.0937171
1.299 0.0654964
1.3 0.0466859
1.301 0.0381895
1.302 0.0296931
1.303 0.0211967
1.304 0.0127003
1.305 0.00952068
1.306 0.00800866
1.307 0.00649665
1.308 0.00498463
1.309 0.00347262
1.31 0.0022777
1.311 0.00208031
1.312 0.00188291
1.313 0.00168551
1.314 0.00148812
1.315 0.00129072
1.316 0.00109332
1.317 0.000895926
1.318 0.000698529
1.319 0.000501132
1.32 0.000458754
1.321 0.000417213
1.322 0.000375673
1.323 0.000334132
1.324 0.000292591
1.325 0.00025105
1.326 0.000219434
1.327 0.000203795
1.328 0.000188157
1.329 0.000172518
1.33 0.00015688
1.331 0.000141241
1.332 0.000131952
1.333 0.000130424
1.334 0.000128896
1.335 0.000127368
1.336 0.00012584
1.337 0.000124312
1.338 0.000122784
1.339 0.000121256
1.34 0.000119729
1.341 0.000118201
1.342 0.000116673
1.343 0.000115145
1.344 0.000113617
1.345 0.000112089
1.346 0.000110561
1.347 0.000109033
1.348 0.000107506
1.349 0.000105978
1.35 0.00010445
1.351 0.000102922
1.352 0.000101394
1.353 0.0001
1.354 0.0000
1.355 0.0000
