# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified: 2025-06-16
# status: Manufacturer's estimate
# wavelength_unit : um
# changes :
# - 2022-03-17 (KL) Updated to match Ric Davies' email
# - 2023-06-06 (RD) Modified profiles after discussion with Schott
# - 2025-06-16 (FH) Updated filter curve based on Ric Davies' email.
#
 wavelength  transmission
   0.500000      0.000002
   0.501000      0.000000
   0.502000      0.000000
   0.503000      0.000000
   0.504000      0.000002
   0.505000      0.000053
   0.506000      0.000036
   0.507000      0.000493
   0.508000      0.000133
   0.509000      0.000025
   0.510000      0.000037
   0.511000      0.000746
   0.512000      0.000363
   0.513000      0.000246
   0.514000      0.000059
   0.515000      0.000182
   0.516000      0.000299
   0.517000      0.000358
   0.518000      0.000121
   0.519000      0.000057
   0.520000      0.000360
   0.521000      0.000257
   0.522000      0.000555
   0.523000      0.000714
   0.524000      0.000072
   0.525000      0.000005
   0.526000      0.000002
   0.527000      0.000002
   0.528000      0.000003
   0.529000      0.000001
   0.530000      0.000000
   0.531000      0.000001
   0.532000      0.000001
   0.533000      0.000001
   0.534000      0.000001
   0.535000      0.000002
   0.536000      0.000002
   0.537000      0.000001
   0.538000      0.000001
   0.539000      0.000001
   0.540000      0.000000
   0.541000      0.000000
   0.542000      0.000000
   0.543000      0.000000
   0.544000      0.000000
   0.545000      0.000000
   0.546000      0.000000
   0.547000      0.000000
   0.548000      0.000000
   0.549000      0.000000
   0.550000      0.000004
   0.551000      0.000019
   0.552000      0.000001
   0.553000      0.000000
   0.554000      0.000000
   0.555000      0.000000
   0.556000      0.000000
   0.557000      0.000001
   0.558000      0.000004
   0.559000      0.000007
   0.560000      0.000004
   0.561000      0.000005
   0.562000      0.000008
   0.563000      0.000001
   0.564000      0.000001
   0.565000      0.000004
   0.566000      0.000021
   0.567000      0.000011
   0.568000      0.000018
   0.569000      0.000012
   0.570000      0.000014
   0.571000      0.000001
   0.572000      0.000001
   0.573000      0.000001
   0.574000      0.000002
   0.575000      0.000007
   0.576000      0.000001
   0.577000      0.000000
