# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.545175078995536
# width : 0.15952179186054832
# blue_cutoff : 1.4654141830652618
# red_cutoff : 1.6249359749258103
#  
wavelength transmission
1.407 0.0000
1.408 0.0000
1.409 0.0001
1.41 0.000100202
1.411 0.000100542
1.412 0.000100881
1.413 0.00010122
1.414 0.000101559
1.415 0.000101899
1.416 0.000102238
1.417 0.000102577
1.418 0.000102916
1.419 0.000103256
1.42 0.000103595
1.421 0.000103934
1.422 0.000104273
1.423 0.000104612
1.424 0.000104952
1.425 0.000105291
1.426 0.00010563
1.427 0.000105969
1.428 0.000114237
1.429 0.00012752
1.43 0.000140804
1.431 0.000166394
1.432 0.000206576
1.433 0.000246759
1.434 0.000286941
1.435 0.000327124
1.436 0.000367306
1.437 0.000407489
1.438 0.000447671
1.439 0.000487854
1.44 0.000585154
1.441 0.000812873
1.442 0.00104059
1.443 0.00126831
1.444 0.00149603
1.445 0.00172375
1.446 0.00195147
1.447 0.00217919
1.448 0.00240691
1.449 0.00317419
1.45 0.00454139
1.451 0.00590859
1.452 0.0072758
1.453 0.008643
1.454 0.0100102
1.455 0.0114601
1.456 0.0203515
1.457 0.0292428
1.458 0.0381342
1.459 0.0470256
1.46 0.0572089
1.461 0.0887212
1.462 0.125006
1.463 0.203345
1.464 0.346862
1.465 0.56786
1.466 0.864384
1.467 0.920818
1.468 0.925724
1.469 0.930631
1.47 0.935537
1.471 0.938708
1.472 0.940346
1.473 0.941983
1.474 0.943621
1.475 0.944966
1.476 0.946029
1.477 0.947093
1.478 0.948156
1.479 0.948856
1.48 0.949175
1.481 0.949494
1.482 0.949814
1.483 0.949761
1.484 0.949285
1.485 0.948809
1.486 0.948333
1.487 0.947536
1.488 0.946341
1.489 0.945146
1.49 0.943951
1.491 0.942531
1.492 0.940808
1.493 0.939085
1.494 0.937362
1.495 0.935537
1.496 0.933562
1.497 0.931587
1.498 0.929612
1.499 0.927661
1.5 0.92575
1.501 0.923839
1.502 0.921928
1.503 0.92015
1.504 0.918609
1.505 0.917068
1.506 0.915526
1.507 0.914194
1.508 0.91327
1.509 0.912345
1.51 0.91142
1.511 0.910739
1.512 0.910579
1.513 0.910419
1.514 0.910258
1.515 0.910333
1.516 0.910963
1.517 0.911593
1.518 0.912223
1.519 0.913043
1.52 0.914362
1.521 0.915681
1.522 0.917001
1.523 0.918442
1.524 0.920239
1.525 0.922037
1.526 0.923835
1.527 0.925676
1.528 0.927665
1.529 0.929653
1.53 0.931641
1.531 0.933602
1.532 0.935462
1.533 0.937322
1.534 0.939183
1.535 0.940962
1.536 0.942397
1.537 0.943832
1.538 0.945267
1.539 0.946591
1.54 0.947371
1.541 0.948151
1.542 0.948931
1.543 0.949596
1.544 0.949596
1.545 0.949596
1.546 0.949596
1.547 0.949497
1.548 0.948717
1.549 0.947938
1.55 0.947158
1.551 0.946309
1.552 0.944874
1.553 0.943439
1.554 0.942004
1.555 0.940534
1.556 0.938673
1.557 0.936813
1.558 0.934952
1.559 0.933084
1.56 0.931096
1.561 0.929108
