# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 0.9021986154652002
# width : 0.06820557064836219
# blue_cutoff : 0.8680958301410191
# red_cutoff : 0.9363014007893813
#  
wavelength transmission
0.831 0.0000
0.832 0.0000
0.833 0.0001
0.834 0.000100454
0.835 0.000100978
0.836 0.000101503
0.837 0.000102027
0.838 0.000102552
0.839 0.000103076
0.84 0.000103601
0.841 0.000104125
0.842 0.00010465
0.843 0.000105174
0.844 0.000110379
0.845 0.000130916
0.846 0.000166791
0.847 0.000228919
0.848 0.000291048
0.849 0.000353176
0.85 0.000415304
0.851 0.000477433
0.852 0.000817402
0.853 0.00116949
0.854 0.00152159
0.855 0.00187368
0.856 0.00222577
0.857 0.00387796
0.858 0.0059919
0.859 0.00810584
0.86 0.0102198
0.861 0.0230107
0.862 0.0367581
0.863 0.0513734
0.864 0.101551
0.865 0.224397
0.866 0.51902
0.867 0.840729
0.868 0.851753
0.869 0.859578
0.87 0.86346
0.871 0.866319
0.872 0.868742
0.873 0.869499
0.874 0.869579
0.875 0.86845
0.876 0.866191
0.877 0.863357
0.878 0.859315
0.879 0.855068
0.88 0.850386
0.881 0.84579
0.882 0.84126
0.883 0.837499
0.884 0.83411
0.885 0.831918
0.886 0.830606
0.887 0.830226
0.888 0.831324
0.889 0.832969
0.89 0.836097
0.891 0.839674
0.892 0.843936
0.893 0.848513
0.894 0.853225
0.895 0.857635
0.896 0.861736
0.897 0.865137
0.898 0.86759
0.899 0.869439
0.9 0.869596
0.901 0.869191
0.902 0.867343
0.903 0.864682
0.904 0.861281
0.905 0.857046
0.906 0.852596
0.907 0.847883
0.908 0.843366
0.909 0.839104
0.91 0.835679
0.911 0.832618
0.912 0.831124
0.913 0.830277
0.914 0.830656
0.915 0.832211
0.916 0.834403
0.917 0.837987
0.918 0.841866
0.919 0.846396
0.92 0.851012
0.921 0.855694
0.922 0.859861
0.923 0.863736
0.924 0.86657
0.925 0.868601
0.926 0.86973
0.927 0.869398
0.928 0.868503
0.929 0.865982
0.93 0.862941
0.931 0.859059
0.932 0.850908
0.933 0.840804
0.934 0.537709
0.935 0.22588
0.936 0.108582
0.937 0.0660107
0.938 0.0446691
0.939 0.0321524
0.940 0.0196358
0.941 0.0105826
0.942 0.00835514
0.943 0.00612768
0.944 0.00390021
0.945 0.00236105
0.946 0.00207026
0.947 0.00177946
0.948 0.00148867
0.949 0.00119787
0.950 0.000907081
0.951 0.000616287
0.952 0.000483075
0.953 0.000421877
0.954 0.00036068
0.955 0.000299483
0.956 0.000238285
0.957 0.000212116
0.958 0.000189077
0.959 0.000166038
0.960 0.000143
0.961 0.000133241
0.962 0.00013099
0.963 0.00012874
0.964 0.000126489
0.965 0.000124238
0.966 0.000121987
0.967 0.000119736
0.968 0.000117486
0.969 0.000115235
0.970 0.000112984
0.971 0.000110733
0.972 0.000108482
0.973 0.000106231
0.974 0.000103981
0.975 0.00010173
0.976 0.0001
0.977 0.0000
0.978 0.0000
