# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.2008455871459993
# width : 0.10977821997358343
# blue_cutoff : 1.1459564771592077
# red_cutoff : 1.255734697132791
#  
wavelength transmission
1.099 0.0000
1.100 0.0000
1.101 0.0001
1.102 0.00010018
1.103 0.000100576
1.104 0.000100973
1.105 0.00010137
1.106 0.000101766
1.107 0.000102163
1.108 0.00010256
1.109 0.000102957
1.11 0.000103353
1.111 0.00010375
1.112 0.000104147
1.113 0.000104543
1.114 0.00010494
1.115 0.000105337
1.116 0.000111742
1.117 0.000127275
1.118 0.000142808
1.119 0.000187628
1.12 0.000234618
1.121 0.000281608
1.122 0.000328598
1.123 0.000375588
1.124 0.000422578
1.125 0.000469568
1.126 0.000687035
1.127 0.000953334
1.128 0.00121963
1.129 0.00148593
1.13 0.00175223
1.131 0.00201853
1.132 0.00228482
1.133 0.00371741
1.134 0.00531624
1.135 0.00691507
1.136 0.0085139
1.137 0.0101127
1.138 0.0189646
1.139 0.0293621
1.14 0.0397596
1.141 0.0508459
1.142 0.0864585
1.143 0.142668
1.144 0.275921
1.145 0.519032
1.146 0.821143
1.147 0.845029
1.148 0.85181
1.149 0.858104
1.15 0.860492
1.151 0.86288
1.152 0.864972
1.153 0.866523
1.154 0.868074
1.155 0.868978
1.156 0.869443
1.157 0.869909
1.158 0.869401
1.159 0.868707
1.16 0.867927
1.161 0.866184
1.162 0.864441
1.163 0.862449
1.164 0.859936
1.165 0.857423
1.166 0.854702
1.167 0.851821
1.168 0.848941
1.169 0.846136
1.17 0.843349
1.171 0.840589
1.172 0.838342
1.173 0.836094
1.174 0.834111
1.175 0.832763
1.176 0.831414
1.177 0.830664
1.178 0.830431
1.179 0.830197
1.18 0.830862
1.181 0.831781
1.182 0.832722
1.183 0.834646
1.184 0.83657
1.185 0.838679
1.186 0.841301
1.187 0.843922
1.188 0.846685
1.189 0.849584
1.19 0.852483
1.191 0.855243
1.192 0.857956
1.193 0.860669
1.194 0.862766
1.195 0.864859
1.196 0.866727
1.197 0.867864
1.198 0.869002
1.199 0.869596
1.2 0.869596
1.201 0.869596
1.202 0.868777
1.203 0.867639
1.204 0.866502
1.205 0.864444
1.206 0.862352
1.207 0.860132
1.208 0.857419
1.209 0.854706
1.21 0.851909
1.211 0.84901
1.212 0.84611
1.213 0.843403
1.214 0.840781
1.215 0.83816
1.216 0.836189
1.217 0.834265
1.218 0.832518
1.219 0.831599
1.22 0.83068
1.221 0.830244
1.222 0.830477
1.223 0.830711
1.224 0.831681
1.225 0.83303
1.226 0.834378
1.227 0.836539
1.228 0.838787
1.229 0.841114
1.23 0.843901
1.231 0.846688
1.232 0.849511
1.233 0.852392
1.234 0.855272
1.235 0.857921
1.236 0.860434
1.237 0.862947
1.238 0.864786
1.239 0.86653
1.24 0.86815
1.241 0.868845
1.242 0.869539
1.243 0.869817
1.244 0.869351
1.245 0.868886
1.246 0.867767
1.247 0.866216
1.248 0.864665
1.249 0.862407
1.25 0.860019
1.251 0.857297
1.252 0.851081
1.253 0.844865
1.254 0.798491
1.255 0.537692
1.256 0.270104
1.257 0.147556
1.258 0.0957773
1.259 0.0667269
1.26 0.0481591
1.261 0.0388441
1.262 0.0295291
1.263 0.0202142
1.264 0.0112553
1.265 0.00959757
1.266 0.00793984
1.267 0.00628211
1.268 0.00462438
1.269 0.00296666
1.27 0.00231355
1.271 0.00209714
1.272 0.00188072
1.273 0.0016643
1.274 0.00144789
1.275 0.00123147
1.276 0.00101505
1.277 0.000798636
1.278 0.000582219
1.279 0.000491558
1.28 0.000446013
1.281 0.000400468
1.282 0.000354923
1.283 0.000309378
1.284 0.000263833
1.285 0.000227627
1.286 0.000210481
1.287 0.000193335
1.288 0.000176189
1.289 0.000159044
1.29 0.000141898
1.291 0.000133709
1.292 0.000132034
1.293 0.000130359
1.294 0.000128684
1.295 0.000127009
1.296 0.000125334
1.297 0.000123659
1.298 0.000121984
1.299 0.000120308
1.3 0.000118633
1.301 0.000116958
1.302 0.000115283
1.303 0.000113608
1.304 0.000111933
1.305 0.000110258
1.306 0.000108583
1.307 0.000106908
1.308 0.000105232
1.309 0.000103557
1.31 0.000101882
1.311 0.000100207
1.312 0.0001
1.313 0.0000
1.314 0.0000
