# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.059572715209389
# width : 0.160237922231812
# blue_cutoff : 1.9794537540934827
# red_cutoff : 2.139691676325295
#  
wavelength transmission
1.902 0.0000
1.903 0.0000
1.904 0.0001
1.905 0.000100034
1.906 0.000100277
1.907 0.00010052
1.908 0.000100763
1.909 0.000101006
1.91 0.000101249
1.911 0.000101492
1.912 0.000101735
1.913 0.000101977
1.914 0.00010222
1.915 0.000102463
1.916 0.000102706
1.917 0.000102949
1.918 0.000103192
1.919 0.000103435
1.92 0.000103678
1.921 0.000103921
1.922 0.000104164
1.923 0.000104406
1.924 0.000104649
1.925 0.000104892
1.926 0.000105135
1.927 0.000105378
1.928 0.000105621
1.929 0.000105864
1.93 0.000113845
1.931 0.000123356
1.932 0.000132867
1.933 0.000142377
1.934 0.00016288
1.935 0.000191652
1.936 0.000220424
1.937 0.000249196
1.938 0.000277969
1.939 0.000306741
1.94 0.000335513
1.941 0.000364285
1.942 0.000393057
1.943 0.000421829
1.944 0.000450601
1.945 0.000479373
1.946 0.000535027
1.947 0.000698079
1.948 0.000861131
1.949 0.00102418
1.95 0.00118724
1.951 0.00135029
1.952 0.00151334
1.953 0.00167639
1.954 0.00183944
1.955 0.0020025
1.956 0.00216555
1.957 0.0023286
1.958 0.00270748
1.959 0.00368643
1.96 0.00466539
1.961 0.00564434
1.962 0.0066233
1.963 0.00760225
1.964 0.00858121
1.965 0.00956016
1.966 0.0105391
1.967 0.0143743
1.968 0.0207409
1.969 0.0271074
1.97 0.033474
1.971 0.0398405
1.972 0.0462071
1.973 0.0530313
1.974 0.0704364
1.975 0.0964154
1.976 0.122394
1.977 0.178465
1.978 0.265631
1.979 0.381922
1.98 0.54954
1.981 0.78873
1.982 0.888704
1.983 0.893547
1.984 0.89839
1.985 0.903232
1.986 0.90792
1.987 0.909568
1.988 0.911217
1.989 0.912865
1.99 0.914482
1.991 0.915553
1.992 0.916624
1.993 0.917694
1.994 0.91872
1.995 0.919041
1.996 0.919362
1.997 0.919684
1.998 0.919952
1.999 0.919473
2.0 0.918993
2.001 0.918514
2.002 0.917983
2.003 0.916779
2.004 0.915576
2.005 0.914373
2.006 0.913128
2.007 0.911393
2.008 0.909658
2.009 0.907924
2.01 0.906168
2.011 0.904179
2.012 0.902191
2.013 0.900202
2.014 0.898219
2.015 0.896295
2.016 0.894371
2.017 0.892447
2.018 0.890558
2.019 0.889007
2.02 0.887455
2.021 0.885903
2.022 0.884414
2.023 0.883483
2.024 0.882552
2.025 0.881622
2.026 0.880772
2.027 0.880611
2.028 0.88045
2.029 0.880289
2.03 0.880217
2.031 0.880851
2.032 0.881486
2.033 0.88212
2.034 0.882836
2.035 0.884164
2.036 0.885493
2.037 0.886821
2.038 0.888209
2.039 0.890018
2.04 0.891828
2.041 0.893638
2.042 0.895473
2.043 0.897474
2.044 0.899476
2.045 0.901477
2.046 0.903461
2.047 0.905334
2.048 0.907207
2.049 0.90908
2.05 0.910893
2.051 0.912338
2.052 0.913782
2.053 0.915227
2.054 0.916575
2.055 0.91736
2.056 0.918145
2.057 0.91893
2.058 0.919596
2.059 0.919596
2.06 0.919596
2.061 0.919596
2.062 0.919472
2.063 0.918686
2.064 0.917901
2.065 0.917116
2.066 0.916223
2.067 0.914778
2.068 0.913334
2.069 0.911889
2.07 0.910371
2.071 0.908498
2.072 0.906625
2.073 0.904752
2.074 0.902857
2.075 0.900855
2.076 0.898854
2.077 0.896853
2.078 0.894886
2.079 0.893076
2.08 0.891266
2.081 0.889456
2.082 0.887737
2.083 0.886408
2.084 0.88508
2.085 0.883752
2.086 0.882557
2.087 0.881923
2.088 0.881289
2.089 0.880654
2.09 0.880178
2.091 0.880339
2.092 0.8805
2.093 0.880661
2.094 0.88098
2.095 0.881911
2.096 0.882841
2.097 0.883772
2.098 0.884834
2.099 0.886385
2.1 0.887937
2.101 0.889489
2.102 0.891121
2.103 0.893045
2.104 0.894969
2.105 0.896893
2.106 0.898831
2.107 0.90082
2.108 0.902808
2.109 0.904797
2.11 0.906728
2.111 0.908462
2.112 0.910197
2.113 0.911932
2.114 0.913543
2.115 0.914746
2.116 0.91595
2.117 0.917153
2.118 0.918183
2.119 0.918663
2.12 0.919142
2.121 0.919622
2.122 0.919905
2.123 0.919584
2.124 0.919263
2.125 0.918941
2.126 0.918432
2.127 0.917362
2.128 0.916291
2.129 0.91522
2.13 0.914002
2.131 0.912353
2.132 0.910705
2.133 0.909056
2.134 0.90668
2.135 0.90225
2.136 0.89782
2.137 0.89339
2.138 0.868885
2.139 0.730607
2.14 0.569323
2.141 0.385516
2.142 0.262445
2.143 0.184678
2.144 0.129771
2.145 0.104347
2.146 0.0824397
2.147 0.068073
2.148 0.054029
2.149 0.0482448
2.15 0.0424605
2.151 0.0366763
2.152 0.0308921
2.153 0.0251079
2.154 0.0193237
2.155 0.0135394
2.156 0.0112389
2.157 0.0102096
2.158 0.00918023
2.159 0.00815087
2.16 0.00712151
2.161 0.00609215
2.162 0.00506279
2.163 0.00403343
2.164 0.00300407
2.165 0.0025214
