# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.0016268093065457
# width : 0.08009329120274046
# blue_cutoff : 0.9615801637051754
# red_cutoff : 1.0416734549079159
#  
wavelength transmission
0.921 0.0000
0.922 0.0000
0.923 0.0001
0.924 0.000100204
0.925 0.000100678
0.926 0.000101151
0.927 0.000101624
0.928 0.000102097
0.929 0.00010257
0.93 0.000103043
0.931 0.000103516
0.932 0.00010399
0.933 0.000104463
0.934 0.000104936
0.935 0.000105409
0.936 0.000117567
0.937 0.000136093
0.938 0.00017637
0.939 0.000232416
0.94 0.000288461
0.941 0.000344507
0.942 0.000400552
0.943 0.000456598
0.944 0.000664854
0.945 0.000982469
0.946 0.00130008
0.947 0.0016177
0.948 0.00193531
0.949 0.00225293
0.95 0.00383401
0.951 0.00574093
0.952 0.00764784
0.953 0.00955476
0.954 0.0173397
0.955 0.0297409
0.956 0.0421421
0.957 0.0619274
0.958 0.112538
0.959 0.245108
0.96 0.519035
0.961 0.83962
0.962 0.848975
0.963 0.858012
0.964 0.861307
0.965 0.864539
0.966 0.866679
0.967 0.868736
0.968 0.869378
0.969 0.86993
0.97 0.868972
0.971 0.86793
0.972 0.865525
0.973 0.863058
0.974 0.859591
0.975 0.856094
0.976 0.85212
0.977 0.848154
0.978 0.844309
0.979 0.84051
0.98 0.83741
0.981 0.834388
0.982 0.832528
0.983 0.830769
0.984 0.830446
0.985 0.830231
0.986 0.831498
0.987 0.83286
0.988 0.835515
0.989 0.838236
0.99 0.841853
0.991 0.845497
0.992 0.849497
0.993 0.853478
0.994 0.857221
0.995 0.860901
0.996 0.863788
0.997 0.866577
0.998 0.868146
0.999 0.869596
1.0 0.869596
1.001 0.869475
1.002 0.867905
1.003 0.866233
1.004 0.863346
1.005 0.86039
1.006 0.856647
1.007 0.852884
1.008 0.848884
1.009 0.844915
1.01 0.841299
1.011 0.837763
1.012 0.835108
1.013 0.832572
1.014 0.831304
1.015 0.830174
1.016 0.830496
1.017 0.830953
1.018 0.832813
1.019 0.834784
1.02 0.837885
1.021 0.841053
1.022 0.844898
1.023 0.848755
1.024 0.852729
1.025 0.856655
1.026 0.860122
1.027 0.863489
1.028 0.865894
1.029 0.868161
1.03 0.869119
1.031 0.869922
1.032 0.869279
1.033 0.86849
1.034 0.866351
1.035 0.864096
1.036 0.860802
1.037 0.856976
1.038 0.8484
1.039 0.824937
1.04 0.537676
1.041 0.24349
1.042 0.119795
1.043 0.0755151
1.044 0.0497715
1.045 0.0385305
1.046 0.0272896
1.047 0.0160486
1.048 0.0101713
1.049 0.00817087
1.05 0.00617047
1.051 0.00417007
1.052 0.00242592
1.053 0.00216476
1.054 0.0019036
1.055 0.00164244
1.056 0.00138128
1.057 0.00112012
1.058 0.000858956
1.059 0.000597795
1.06 0.00048542
1.061 0.000430461
1.062 0.000375501
1.063 0.000320542
1.064 0.000265582
1.065 0.000224741
1.066 0.000204051
1.067 0.000183361
1.068 0.000162671
1.069 0.000141981
1.07 0.000133371
1.071 0.00013135
1.072 0.000129328
1.073 0.000127307
1.074 0.000125285
1.075 0.000123264
1.076 0.000121243
1.077 0.000119221
1.078 0.0001172
1.079 0.000115178
1.08 0.000113157
1.081 0.000111136
1.082 0.000109114
1.083 0.000107093
1.084 0.000105071
1.085 0.00010305
1.086 0.000101028
1.087 0.0001
1.088 0.0000
1.089 0.0000
