# author : Auto-compiled from source
# source : LIST_MICADO_mirrors_static.dat
# description : SurfaceList collapsed into single TERCurve
# date_created : 2020-08-25
# date_modified : 2020-08-25
# area : 0.19634954084936207
# area_unit : m2
# wavelength_unit : um
# emission_unit : photlam
          wavelength         transmission                 emission  
                 0.7   0.7048043980956935    3.480663855167995e-27  
               0.701   0.7048043980956941    3.853244105083572e-27  
               0.702   0.7048043980956935   4.2644360617549465e-27  
               0.703   0.7048043980956942   4.7181081765553466e-27  
               0.704    0.704804398095694   5.2185029966246055e-27  
               0.705   0.7048043980956926    5.770272021286584e-27  
               0.706   0.7048043980956934    6.378513681422168e-27  
               0.707   0.7048043980956942    7.048814710233854e-27  
               0.708   0.7048043980956934    7.787295195920267e-27  
               0.709   0.7048043980956935    8.600657630585976e-27  
                0.71   0.7048043980956941    9.496240295385715e-27  
               0.711   0.7048043980956926   1.0482075349576296e-26  
               0.712   0.7048043980956926   1.1566952020971726e-26  
               0.713   0.7048043980956935   1.2760485327417307e-26  
               0.714   0.7048043980956926   1.4073190793509894e-26  
               0.715   0.7048043980956934   1.5516565664049364e-26  
               0.716   0.7048043980956941   1.7103177155812796e-26  
               0.717   0.7048043980956934    1.884675833242056e-26  
               0.718   0.7048043980956941   2.0762312233505643e-26  
               0.719   0.7048043980956942   2.2866224939368665e-26  
                0.72   0.7048043980956925   2.5176388306033552e-26  
               0.721   0.7048043980956934   2.7712333163388455e-26  
               0.722   0.7048043980956933   3.0495373831206304e-26  
               0.723   0.7048043980956934    3.354876487456566e-26  
               0.724   0.7048043980956933   3.6897871091889916e-26  
               0.725   0.7048043980956935    4.057035180585434e-26  
               0.726   0.7048043980956926      4.4596360610072e-26  
               0.727   0.7048043980956935    4.900876181328431e-26  
               0.728   0.7048043980956934    5.384336491806816e-26  
               0.729   0.7048043980956927    5.913917857330981e-26  
                0.73   0.7048043980956935     6.49386855494251e-26  
               0.731   0.7048043980956941    7.128814040292221e-26  
               0.732   0.7048043980956934    7.823789162312426e-26  
               0.733   0.7048043980956934    8.584273018907775e-26  
               0.734   0.7048043980956934     9.41622666096388e-26  
               0.735   0.7048043980956925   1.0326133867509889e-25  
               0.736   0.7048043980956934   1.1321045231510005e-25  
               0.737    0.704804398095694   1.2408625813578456e-25  
               0.738   0.7048043980956926   1.3597206640003283e-25  
               0.739   0.7048043980956926   1.4895840341892895e-25  
                0.74   0.7048043980956933   1.6314361254121495e-25  
               0.741   0.7048043980956925   1.7863450316156785e-25  
               0.742   0.7048043980956934   1.9554705141881654e-25  
               0.743   0.7048043980956934   2.1400715652295787e-25  
               0.744   0.7048043980956934   2.3415145693608534e-25  
               0.745   0.7048043980956934   2.5612821093856315e-25  
               0.746   0.7048043980956942   2.8009824643877475e-25  
               0.747   0.7048043980956925   3.0623598523443993e-25  
               0.748   0.7048043980956926   3.3473054730703715e-25  
               0.749   0.7048043980956933   3.6578694112970525e-25  
                0.75   0.7048043980956934   3.9962734639520055e-25  
               0.751   0.7048043980956934    4.364924960251891e-25  
               0.752   0.7048043980956933    4.766431648076814e-25  
               0.753    0.704804398095694    5.203617725279232e-25  
               0.754   0.7048043980956934    5.679541100103365e-25  
               0.755   0.7048043980956941    6.197511970794321e-25  
               0.756   0.7048043980956941    6.761112820762747e-25  
               0.757   0.7048043980956926    7.374219932378913e-25  
               0.758   0.7048043980956935    8.041026529620488e-25  
               0.759    0.704804398095694    8.766067667415606e-25  
                0.76   0.7048043980956934      9.5542469936503e-25  
               0.761   0.7048043980956934   1.0410865518451694e-24  
               0.762   0.7048043980956935   1.1341652534581462e-24  
               0.763   0.7048043980956925   1.2352798842582976e-24  
               0.764   0.7048043980956934    1.345099244477586e-24  
               0.765   0.7048043980956941   1.4643456883314306e-24  
               0.766   0.7048043980956934    1.593799240936196e-24  
               0.767   0.7048043980956934    1.734302018303501e-24  
               0.768   0.7048043980956941    1.886762971715748e-24  
               0.769   0.7048043980956933   2.0521629792138136e-24  
                0.77   0.7048043980956933    2.231560308441894e-24  
               0.771   0.7048043980956934    2.426096476707134e-24  
               0.772   0.7048043980956934    2.637002535824279e-24  
               0.773   0.7048043980956933   2.8656058111350097e-24  
               0.774   0.7048043980956941   3.1133371260280755e-24  
               0.775   0.7048043980956926   3.3817385453384004e-24  
               0.776   0.7048043980956926    3.672471673188317e-24  
               0.777   0.7048043980956934   3.9873265431504864e-24  
               0.778   0.7048043980956927    4.328231141073638e-24  
               0.779   0.7048043980956933    4.697261603522992e-24  
                0.78   0.7048043980956934   5.0966531375617194e-24  
               0.781   0.7048043980956934    5.528811710539229e-24  
               0.782   0.7048043980956941     5.99632656167423e-24  
               0.783    0.704804398095694   6.5019835905307725e-24  
               0.784   0.7048043980956927    7.048779680994363e-24  
               0.785   0.7048043980956933    7.639938023080458e-24  
               0.786   0.7048043980956934    8.278924498848227e-24  
               0.787   0.7048043980956934    8.969465202881168e-24  
               0.788   0.7048043980956935    9.715565172221801e-24  
               0.789   0.7048043980956933   1.0521528405346219e-23  
                0.79   0.7048043980956926    1.139197925473642e-23  
               0.791   0.7048043980956934   1.2331885282878177e-23  
               0.792   0.7048043980956934    1.334658167708602e-23  
               0.793   0.7048043980956926    1.444179732446426e-23  
               0.794   0.7048043980956935   1.5623682654569264e-23  
               0.795   0.7048043980956938   1.6898839363937216e-23  
               0.796   0.7048043980956934   1.8274352143664665e-23  
               0.797   0.7048043980956941    1.975782253860835e-23  
               0.798   0.7048043980956934   2.1357405074630947e-23  
               0.799   0.7048043980956925   2.3081845798574353e-23  
                 0.8   0.7048043980956935   2.4940523384424718e-23  
               0.801   0.7048043980956941   2.6943492968378635e-23  
               0.802   0.7048043980956935    2.910153288531371e-23  
               0.803   0.7048043980956926    3.142619448949914e-23  
               0.804   0.7048043980956935   3.3929855253331544e-23  
               0.805   0.7048043980956925    3.662577534939234e-23  
               0.806   0.7048043980956933   3.9528157933354245e-23  
               0.807   0.7048043980956934   4.2652213358112187e-23  
               0.808   0.7048043980956934   4.6014227563130474e-23  
               0.809   0.7048043980956934    4.963163489733126e-23  
                0.81   0.7048043980956941    5.352309564902838e-23  
               0.811   0.7048043980956934    5.770857857236488e-23  
               0.812   0.7048043980956926    6.220944871661967e-23  
  0.8130000000000001   0.7048043980956934    6.704856088250799e-23  
  0.8140000000000001   0.7048043980956942    7.225035904840346e-23  
  0.8150000000000001   0.7048043980956933    7.784098212920146e-23  
  0.8160000000000001   0.7048043980956926    8.384837645138405e-23  
  0.8170000000000001   0.7048043980956934    9.030241534991591e-23  
  0.8180000000000001   0.7048043980956926    9.723502631574083e-23  
  0.8190000000000001   0.7048043980956934   1.0468032614712956e-22  
  0.8200000000000001   0.7048043980956942   1.1267476458386364e-22  
  0.8210000000000001   0.7048043980956934   1.2125727693040918e-22  
  0.8220000000000001   0.7048043980956934   1.3046944620281963e-22  
  0.8230000000000001   0.7048043980956941   1.4035567536416425e-22  
  0.8240000000000001   0.7048043980956934   1.5096337024506967e-22  
  0.8250000000000001   0.7048043980956935    1.623431337792743e-22  
  0.8260000000000001   0.7048043980956935   1.7454897221927446e-22  
  0.8270000000000001   0.7048043980956933    1.876385140340974e-22  
  0.8280000000000001   0.7048043980956934   2.0167324223019315e-22  
  0.8290000000000001   0.7048043980956941     2.16718740877362e-22  
  0.8300000000000001   0.7048043980956926    2.328449566647422e-22  
  0.8310000000000001   0.7048043980956925   2.5012647635711825e-22  
  0.8320000000000001   0.7048043980956935    2.686428210696654e-22  
  0.8330000000000001   0.7048043980956925   2.8847875832908005e-22  
  0.8340000000000001   0.7048043980956935   3.0972463294196975e-22  
  0.8350000000000001   0.7048043980956941    3.324767177466439e-22  
  0.8360000000000001   0.7048043980956935    3.568375853826534e-22  
  0.8370000000000001   0.7048043980956941    3.829165022736727e-22  
  0.8380000000000001   0.7048043980956941    4.108298460834673e-22  
  0.8390000000000001   0.7048043980956926    4.407015479723071e-22  
  0.8400000000000001   0.7048043980956935    4.726635610520798e-22  
  0.8410000000000001   0.7048043980956933    5.068563565127559e-22  
  0.8420000000000001   0.7048043980956935    5.434294489711724e-22  
  0.8430000000000001   0.7048043980956934    5.825419526751476e-22  
  0.8440000000000001   0.7048043980956934    6.243631702821396e-22  
  0.8450000000000001   0.7048043980956925    6.690732160220904e-22  
  0.8460000000000001   0.7048043980956936    7.168636751490453e-22  
  0.8470000000000001   0.7048043980956934    7.679383016858042e-22  
  0.8480000000000001   0.7048043980956927   8.2251375657014555e-22  
  0.8490000000000001   0.7048043980956934    8.808203884212445e-22  
  0.8500000000000001   0.7048043980956941    9.431030592590725e-22  
  0.8510000000000001   0.7048043980956934    1.009622017630908e-21  
  0.8520000000000001   0.7048043980956935   1.0806538217251715e-21  
  0.8530000000000001   0.7048043980956933   1.1564923151849708e-21  
  0.8540000000000001   0.7048043980956925   1.2374496584731932e-21  
  0.8550000000000001   0.7048043980956934   1.3238574187861173e-21  
  0.8560000000000001    0.704804398095694   1.4160677216651568e-21  
  0.8570000000000001   0.7048043980956934   1.5144544676162398e-21  
  0.8580000000000001   0.7048043980956927    1.619414617213472e-21  
  0.8590000000000001   0.7048043980956934   1.7313695483391734e-21  
  0.8600000000000001   0.7048043980956926   1.8507664893963688e-21  
  0.8610000000000001   0.7048043980956935   1.9780800325213253e-21  
  0.8620000000000001   0.7048043980956934   2.1138137310252494e-21  
  0.8630000000000001   0.7048043980956935    2.258501785506142e-21  
  0.8640000000000001   0.7048043980956934   2.4127108232899466e-21  
  0.8650000000000001   0.7048043980956941   2.5770417760934316e-21  
  0.8660000000000001   0.7048043980956926    2.752131861041214e-21  
  0.8670000000000001   0.7048043980956926   2.9386566704226397e-21  
  0.8680000000000001   0.7048043980956932   3.1373323758383162e-21  
  0.8690000000000001   0.7048043980956942    3.348918052662238e-21  
  0.8700000000000001   0.7048043980956934    3.574218131036346e-21  
  0.8710000000000001   0.7048043980956934    3.814084979913281e-21  
  0.8720000000000001   0.7048043980956934    4.069421630983181e-21  
