# author : Auto-compiled from source
# source : LIST_RO_SCAO_mirrors.dat
# description : SurfaceList collapsed into single TERCurve
# date_created : 2020-08-25
# date_modified : 2020-08-25
# area : 0.22061834409834324
# area_unit : m2
# wavelength_unit : um
# emission_unit : photlam
          wavelength         transmission                 emission  
                 0.7   0.8453065959547499    3.433188863514989e-26  
               0.701   0.8454864707461996    3.796282515430881e-26  
               0.702   0.8456663774331711   4.1965202267488234e-26  
               0.703   0.8458463160201879    4.637571713558359e-26  
               0.704   0.8460262865117745   5.1234562262478784e-26  
               0.705   0.8462062889124581    5.658574583133375e-26  
               0.706   0.8463863232267622    6.247744022521985e-26  
               0.707   0.8465663894592143    6.896236110661806e-26  
               0.708   0.8467464876143417    7.609817962131128e-26  
               0.709   0.8469266176966712    8.394797049776931e-26  
                0.71   0.8471067797107308    9.258069903440704e-26  
               0.711   0.8472869736610481   1.0207175020518706e-25  
               0.712   0.8474671995521529   1.1250350337014707e-25  
               0.713   0.8476474573885732   1.2396595635276193e-25  
               0.714   0.8478277471748402   1.3655740294220335e-25  
               0.715   0.8480080689154834    1.503851681967645e-25  
               0.716   0.8481884226150332   1.6556640626662176e-25  
               0.717   0.8483688082780213    1.822289658215136e-25  
               0.718   0.8485492259089783   2.0051232856336756e-25  
               0.719   0.8487102409418883    2.205968734325945e-25  
                0.72   0.8488712814349394   2.4262595781975093e-25  
               0.721   0.8490323473913551   2.6678125580971546e-25  
               0.722   0.8491934388143544   2.9326079048106362e-25  
               0.723   0.8493545557071572   3.2228034809082916e-25  
               0.724   0.8495156980729877   3.5407500956109152e-25  
               0.725   0.8496768659150665    3.889008085720536e-25  
               0.726   0.8498380592366156     4.27036526269461e-25  
               0.727   0.8499992780408568    4.687856333485348e-25  
               0.728   0.8501605223310141     5.14478391084522e-25  
               0.729   0.8503217921103094     5.64474123745335e-25  
                0.73   0.8504830873819663    6.191636757490864e-25  
               0.731   0.8506444081492093    6.789720679215321e-25  
               0.732   0.8508057544152619    7.443613682715284e-25  
               0.733    0.850967126183347   8.1583379383943295e-25  
               0.734   0.8511285234566902     8.93935061390178e-25  
               0.735   0.8512899462385167    9.792580060247067e-25  
               0.736   0.8514513945320502    1.072446488175348e-24  
               0.737   0.8516128683405185    1.174199610938817e-24  
               0.738   0.8517743676671464   1.2852762712921183e-24  
               0.739   0.8519358925151586   1.4065000704368313e-24  
                0.74    0.852097442887783   1.5387646103336192e-24  
               0.741   0.8522590187882451   1.6830392054301863e-24  
               0.742   0.8524206202197726     1.84037504065824e-24  
               0.743   0.8525822471855928   2.0119118089880094e-24  
               0.744   0.8527438996889344   2.1988848641906476e-24  
               0.745   0.8529055777330233    2.402632926981359e-24  
               0.746   0.8530672813210888   2.6246063854045434e-24  
               0.747   0.8532290104563583   2.8663762331924585e-24  
               0.748   0.8533907651420615   3.1296436928894752e-24  
               0.749   0.8535525453814282   3.4162505737963996e-24  
                0.75   0.8537143511776863    3.728190418269037e-24  
               0.751   0.8538761825340667    4.067620493611322e-24  
               0.752   0.8540380394537992    4.436874690753502e-24  
               0.753   0.8541999219401143    4.838477395117396e-24  
               0.754   0.8543618299962423    5.275158399547548e-24  
               0.755   0.8545237636254136    5.749868933964918e-24  
               0.756   0.8546857228308602    6.265798891478284e-24  
               0.757   0.8548477076158141    6.826395336097312e-24  
               0.758   0.8550097179835067    7.435382382947419e-24  
               0.759     0.85517175393717    8.096782548006292e-24  
                0.76   0.8553338154800361    8.814939670901063e-24  
               0.761   0.8554959026153384    9.594543521223075e-24  
               0.762   0.8556580153463105   1.0440656206188641e-23  
               0.763   0.8558201536761851   1.1358740505297339e-23  
               0.764   0.8559823176081962   1.2354690265960645e-23  
               0.765    0.856144507145577   1.3434863002913527e-23  
               0.766   0.8563067222915626   1.4606114853610534e-23  
               0.767    0.856468963049388    1.587583805178512e-23  
               0.768   0.8566312294222872   1.7252001091934875e-23  
               0.769   0.8567935214134971   1.8743191768750476e-23  
                0.77   0.8569558390262507    2.035866328742669e-23  
               0.771   0.8571181822637854   2.2108383653470968e-23  
               0.772   0.8572805511293378    2.400308856405903e-23  
               0.773   0.8574429456261432    2.605433803723345e-23  
               0.774   0.8576053657574402    2.827457703037855e-23  
               0.775   0.8577678115264631     3.06772003154092e-23  
               0.776   0.8579302829364512    3.327662189512699e-23  
               0.777   0.8580927799906423   3.6088349263198755e-23  
               0.778   0.8582553026922735    3.912906282930552e-23  
               0.779   0.8584178510445835    4.241670085122187e-23  
                0.78   0.8585804250508114    4.597055023702823e-23  
