# author : Auto-compiled from source
# source : LIST_mirrors_morfeo_mms.tbl
# description : SurfaceList collapsed into single TERCurve
# date_created : 2020-08-25
# date_modified : 2020-08-25
# area : 0.9503317777109126
# area_unit : m2
# wavelength_unit : um
# emission_unit : photlam
          wavelength         transmission                 emission  
                 0.7   0.8203749816336672     6.60637448865092e-27  
               0.701   0.8204331673514452    7.310751473789917e-27  
               0.702   0.8204913551325823    8.087819097878216e-27  
               0.703   0.8205495449770801    8.944827510400473e-27  
               0.704   0.8206077368849373    9.889724615369613e-27  
               0.705   0.8206659308561537   1.0931220748719814e-26  
               0.706   0.8207241268907314   1.2078859118066869e-26  
               0.707   0.8207823249886688    1.334309249713282e-26  
               0.708   0.8208405251499653   1.4735366707358848e-26  
               0.709   0.8208987273746221   1.6268211462577836e-26  
                0.71   0.8209569316626396   1.7955339199338385e-26  
               0.711    0.821015138014015   1.9811752565805788e-26  
               0.712   0.8210733464287515    2.185386129637757e-26  
               0.713   0.8211315569068485   2.4099609257508612e-26  
               0.714   0.8211897694483045    2.656861251309117e-26  
               0.715   0.8212479840531215   2.9282309325353815e-26  
               0.716   0.8213062007212982    3.226412307999415e-26  
               0.717   0.8213644194528339    3.553963920253741e-26  
               0.718   0.8214226402477306    3.913679721706503e-26  
               0.719   0.8214745928528816    4.308788229260413e-26  
                0.72    0.821526547100905   4.7424762521637896e-26  
               0.721    0.821578502991805    5.218381557435867e-26  
               0.722   0.8216304605255781    5.740472586992521e-26  
               0.723   0.8216824197022249    6.313077378643189e-26  
               0.724    0.821734380521746    6.940914915463192e-26  
               0.725   0.8217863429841413    7.629129098805801e-26  
               0.726     0.82183830708941    8.383325555203441e-26  
               0.727   0.8218902728375538    9.209611503500182e-26  
               0.728   0.8219422402285708   1.0114638925814837e-25  
               0.729   0.8219942092624615   1.1105651304440507e-25  
                0.73   0.8220461799392271    1.219053420664036e-25  
               0.731    0.822098152258867   1.3377870020569123e-25  
               0.732   0.8221501262213798   1.4676997168364938e-25  
               0.733   0.8222021018267671   1.6098074146883674e-25  
               0.734   0.8222540790750282   1.7652148772725648e-25  
               0.735   0.8223060579661632   1.9351233036247006e-25  
               0.736   0.8223580385001727    2.120838399926483e-25  
               0.737   0.8224100206770567   2.3237791203295714e-25  
               0.738   0.8224620044968133   2.5454871089573745e-25  
               0.739   0.8225139899594445   2.7876368968893088e-25  
                0.74   0.8225659770649506    3.052046911868267e-25  
               0.741   0.8226179658133292    3.340691362684305e-25  
               0.742   0.8226699562045833   3.6557130646894395e-25  
               0.743   0.8227219482387107   3.9994372777119555e-25  
               0.744   0.8227739419157125    4.374386632782228e-25  
               0.745   0.8228259372355882    4.783297229582031e-25  
               0.746   0.8228779341983381    5.229135992399216e-25  
               0.747   0.8229299328039605    5.715119378643499e-25  
               0.748   0.8229819330524581    6.244733540678038e-25  
               0.749   0.8230339349438304    6.821756048870616e-25  
                0.75   0.8230859384780759    7.450279291403772e-25  
               0.751   0.8231379436551954    8.134735674525598e-25  
               0.752   0.8231899504751894    8.879924755612786e-25  
               0.753   0.8232419589380575    9.691042450693179e-25  
               0.754   0.8232939690437988   1.0573712467949548e-24  
               0.755    0.823345980792415   1.1534020129276188e-24  
               0.756   0.8233979941839047    1.257854875318934e-24  
               0.757   0.8234500092182673   1.3714418784367913e-24  
               0.758   0.8235020258955058   1.4949329867860728e-24  
               0.759   0.8235540442156181    1.629160607958177e-24  
                0.76   0.8236060641786035     1.77502445392033e-24  
               0.761   0.8236580857844632   1.9334967646954543e-24  
               0.762   0.8237101090331971      2.1056279202259e-24  
               0.763   0.8237621339248045    2.292552467960175e-24  
               0.764    0.823814160459287    2.495495595560955e-24  
               0.765   0.8238661886366434   2.7157800801104844e-24  
               0.766   0.8239182184568729    2.954833747292877e-24  
               0.767   0.8239702499199767   3.2141974762709634e-24  
               0.768   0.8240222830259551    3.495533788352924e-24  
               0.769    0.824074317774807   3.8006360600753796e-24  
                0.77   0.8241263541665329    4.131438404014878e-24  
               0.771   0.8241783922011328    4.490026263498574e-24  
               0.772   0.8242304318786069    4.878647770419122e-24  
               0.773    0.824282473198955    5.299725918580844e-24  
               0.774    0.824334516162178    5.755871608431849e-24  
               0.775   0.8243865607682729   6.2498976226667455e-24  
               0.776   0.8244386070172429    6.784833596048232e-24  
               0.777   0.8244906549090878    7.363942046889478e-24  
               0.778   0.8245427044438053    7.990735541987122e-24  
               0.779    0.824594755621398    8.668995071403727e-24  
                0.78   0.8246468084418642    9.402789714394516e-24  
               0.781   0.8246988629052046   1.0196497682956848e-23  
               0.782   0.8247509190114196   1.1054828834984498e-23  
               0.783   0.8248029767605077   1.1982848754840986e-23  
               0.784   0.8248634029936968   1.2985271051972386e-23  
               0.785   0.8249238314402614    1.406856217604188e-23  
               0.786   0.8249842621002009    1.523900170433545e-23  
               0.787   0.8250446949735145   1.6503337564545457e-23  
               0.788   0.8251051300602028   1.7868819503942813e-23  
               0.789   0.8251655673602657   1.9343234843800842e-23  
                0.79   0.8252260068737026   2.0934946667669357e-23  
               0.791    0.825286448600515    2.265293460126796e-23  
               0.792   0.8253468925407018   2.4506838351460948e-23  
               0.793   0.8254073386942624    2.650700418204384e-23  
               0.794   0.8254677870611989   2.8664534514939606e-23  
               0.795   0.8255282376415096    3.099134085685668e-23  
               0.796   0.8255886904351944    3.350020026364651e-23  
               0.797   0.8256491454422545     3.62048155673914e-23  
               0.798   0.8257096026626887    3.911987960487451e-23  
               0.799   0.8257700620964967   4.2261143700376114e-23  
                 0.8   0.8258305237436808    4.564549067094243e-23  
               0.801   0.8258909876042392    4.929101263826136e-23  
               0.802   0.8259514536781715    5.321709394820709e-23  
               0.803   0.8260119219654781    5.744449951696476e-23  
               0.804   0.8260723924661604    6.199546894154891e-23  
               0.805   0.8261328651802167    6.689381673238643e-23  
               0.806    0.826193340107648    7.216503904672505e-23  
               0.807   0.8262538172484537    7.783642732376709e-23  
               0.808   0.8263142966026337    8.393718924587132e-23  
               0.809   0.8263747781701886    9.049857747483715e-23  
                0.81   0.8264352619511187    9.755402663838712e-23  
               0.811   0.8264957479454222   1.0513929906938721e-22  
               0.812   0.8265562361531001   1.1329263982938307e-22  
  0.8130000000000001    0.826616726574154   1.2205494157851795e-22  
  0.8140000000000001   0.8266772192085824   1.3146991988615386e-22  
  0.8150000000000001   0.8267377140563843    1.415842996104491e-22  
  0.8160000000000001   0.8267982111175605   1.5244801301084902e-22  
  0.8170000000000001   0.8268587103921128   1.6411441029524441e-22  
  0.8180000000000001   0.8269192118800387    1.766404833431369e-22  
  0.8190000000000001   0.8269797155813399   1.9008710338802013e-22  
  0.8200000000000001   0.8270402214960159   2.0451927348616923e-22  
  0.8210000000000001   0.8271007296240654    2.200063966454245e-22  
  0.8220000000000001   0.8271612399654898    2.366225605363522e-22  
  0.8230000000000001   0.8272217525202896   2.5444683975943073e-22  
  0.8240000000000001   0.8272822672884628    2.735636166961043e-22  
  0.8250000000000001   0.8273427842700112   2.9406292202829247e-22  
  0.8260000000000001   0.8274033034649342   3.1604079607083913e-22  
  0.8270000000000001   0.8274638248732318   3.3959967212425366e-22  
  0.8280000000000001    0.827524348494904   3.6484878312133857e-22  
  0.8290000000000001   0.8275848743299513   3.9190459291083515e-22  
  0.8300000000000001   0.8276454023783714    4.208912535944196e-22  
  0.8310000000000001   0.8277059326401672    4.519410904101302e-22  
  0.8320000000000001   0.8277664651153386    4.851951157365035e-22  
  0.8330000000000001   0.8278269998038833    5.208035738761004e-22  
  0.8340000000000001   0.8278875367058034    5.589265183667771e-22  
  0.8350000000000001   0.8279480758210985    5.997344236625993e-22  
  0.8360000000000001   0.8280086171497667    6.434088331247245e-22  
  0.8370000000000001    0.828069160691811    6.901430453661369e-22  
  0.8380000000000001   0.8281297064472292    7.401428411024774e-22  
  0.8390000000000001   0.8281902544160207   7.9362725277533765e-22  
  0.8400000000000001   0.8282477257219556    8.508474777847297e-22  
  0.8410000000000001   0.8283051990218981     9.12036065479249e-22  
  0.8420000000000001   0.8283626743158491    9.774571592183381e-22  
  0.8430000000000001   0.8284201516038082   1.0473917343571037e-21  
  0.8440000000000001   0.8284776308857754   1.1221386220825198e-21  
  0.8450000000000001   0.8285351121617505   1.2020155924931952e-21  
  0.8460000000000001   0.8285925954317351    1.287360500170606e-21  
  0.8470000000000001   0.8286500806957272   1.3785324956577757e-21  
  0.8480000000000001   0.8287075679537269   1.4759133064369021e-21  
  0.8490000000000001    0.828765057205736    1.579908591182928e-21  
  0.8500000000000001   0.8288225484517535   1.6909493712619218e-21  
  0.8510000000000001   0.8288800416917782   1.8094935436473005e-21  
  0.8520000000000001   0.8289375369258115   1.9360274796386803e-21  
  0.8530000000000001   0.8289950341538532    2.071067713990156e-21  
  0.8540000000000001   0.8290525333759023   2.2151627292887276e-21  
  0.8550000000000001   0.8291100345919613    2.368894840667101e-21  
  0.8560000000000001   0.8291675378020281   2.5328821861908375e-21  
  0.8570000000000001   0.8292250430061024   2.7077808285276627e-21  
  0.8580000000000001   0.8292825502041845    2.894286973786496e-21  
  0.8590000000000001   0.8293400593962766   3.0931393137072992e-21  
  0.8600000000000001   0.8293975705823754   3.3051214976903945e-21  
  0.8610000000000001   0.8294550837624838    3.531064741473794e-21  
  0.8620000000000001   0.8295125989365996    3.771850579603663e-21  
  0.8630000000000001   0.8295701161047238   4.0284137691965336e-21  
  0.8640000000000001   0.8296276352668561    4.301745352855536e-21  
  0.8650000000000001   0.8296851564229979    4.592895888991848e-21  
  0.8660000000000001   0.8297426795731454   4.9029788582020905e-21  
  0.8670000000000001   0.8298002047173028    5.233174254773951e-21  
  0.8680000000000001   0.8298577318554686   5.5847323728317345e-21  
  0.8690000000000001   0.8299152609876429    5.958977797092092e-21  
  0.8700000000000001   0.8299727921138244    6.357313608684074e-21  
  0.8710000000000001   0.8300303252340148     6.78122581698294e-21  
  0.8720000000000001   0.8300878603482134     7.23228802893922e-21  
  0.8730000000000001   0.8301453974564195    7.712166367926019e-21  
  0.8740000000000001   0.8302029365586351    8.222624654703613e-21  
  0.8750000000000001   0.8302604776548588    8.765529863695989e-21  
  0.8760000000000001   0.8303180207450898    9.342857868398583e-21  
  0.8770000000000001   0.8303755658293295    9.956699490390275e-21  
  0.8780000000000001   0.8304331129075779   1.0609266867097815e-20  
  0.8790000000000001   0.8304906619798338   1.1302900154175757e-20  
  0.8800000000000001   0.8305482130460986      1.2040074579106e-20  
  0.8810000000000001   0.8306057661063713   1.2823407863389532e-20  
  0.8820000000000001   0.8306633211606523   1.3655668031516788e-20  
  0.8830000000000001   0.8307208782089416   1.4539781625737534e-20  
  0.8840000000000001   0.8307784372512397    1.547884234653964e-20  
  0.8850000000000001   0.8308359982875445   1.6476120139649978e-20  
  0.8860000000000001   0.8308935613178586   1.7535070751333774e-20  
  0.8870000000000001   0.8309511263421815    1.865934577476643e-20  
  0.8880000000000001   0.8310086933605122    1.985280321128401e-20  
  0.8890000000000001   0.8310662623728509   2.1119518571405077e-20  
  0.8900000000000001   0.8311238333791985   2.2463796541644528e-20  
  0.8910000000000001   0.8311814063795533   2.3890183244318287e-20  
  0.8920000000000001   0.8312389813739177   2.5403479118760605e-20  
  0.8930000000000001   0.8312965583622888   2.7008752453649785e-20  
  0.8940000000000001   0.8313541373446685    2.871135360148224e-20  
  0.8950000000000001   0.8314117183210573    3.051692990759859e-20  
  0.8960000000000001   0.8314693012914541     3.24314413876338e-20  
  0.8970000000000001   0.8315268862558588    3.446117718874329e-20  
  0.8980000000000001   0.8315844732142722    3.661277287154295e-20  
  0.8990000000000001   0.8316510959087826    3.889074287325386e-20  
  0.9000000000000001   0.8317177212719364   4.1304645329146755e-20  
  0.9010000000000001   0.8317843493037353    4.386223947227625e-20  
  0.9020000000000001   0.8318509800041772    4.657170692900977e-20  
  0.9030000000000001   0.8319176133732635   4.9441673570133634e-20  
  0.9040000000000001   0.8319842494109936   5.2481232431637216e-20  
  0.9050000000000001    0.832050888117368    5.569996775445787e-20  
  0.9060000000000001   0.8321175294923849     5.91079801946167e-20  
  0.9070000000000001   0.8321841735360467    6.271591325737827e-20  
  0.9080000000000001   0.8322508202483522    6.653498101135954e-20  
  0.9090000000000001   0.8323174696293009    7.057699714091102e-20  
  0.9100000000000001   0.8323841216788948    7.485440539757702e-20  
  0.9110000000000001   0.8324507763971325    7.938031151401799e-20  
  0.9120000000000001   0.8325174337840124    8.416851664647043e-20  
  0.9130000000000001   0.8325840938395372    8.923355241460298e-20  
  0.9140000000000001   0.8326507565637067    9.459071761052691e-20  
  0.9150000000000001   0.8327174219565189    1.002561166517435e-19  
  0.9160000000000001   0.8327840900179759    1.062466998559148e-19  
  0.9170000000000001    0.832850760748077   1.1258030561860675e-19  
  0.9180000000000001   0.8329174341468205   1.1927570457855952e-19  
  0.9190000000000002    0.832984110214209   1.2635264585848139e-19  
  0.9200000000000002   0.8330507889502414   1.3383190547305647e-19  
  0.9210000000000002   0.8331174703549163   1.4173533699962326e-19  
  0.9220000000000002   0.8331841544282362   1.5008592461089417e-19  
