# author: Oliver Czoske
# source: E-MOS-SYS-ANR-0063-V20, fit to Fig. 4.1
# date_created: 2025-07-17
# date_modified: 2025-07-17
# status: specification
# wavelength_unit: nm
# description: fit to figure, green line Eavg
# comment:
#   - fit function is sinc + linear
#   - A np.sinc((wave - wavec)/width) + a * (wave - wavec)
#   - A = 0.85
#   - wavec = 486.7
#   - width = 200
#   - a = 5e-4
#
wave      efficiency
380.00    0.4510
380.22    0.4523
380.44    0.4537
380.66    0.4550
380.88    0.4563
381.10    0.4576
381.32    0.4590
381.54    0.4603
381.76    0.4616
381.98    0.4630
382.20    0.4643
382.42    0.4656
382.64    0.4669
382.86    0.4682
383.08    0.4696
383.30    0.4709
383.52    0.4722
383.74    0.4735
383.96    0.4748
384.18    0.4762
384.40    0.4775
384.62    0.4788
384.84    0.4801
385.06    0.4814
385.28    0.4827
385.50    0.4840
385.72    0.4853
385.94    0.4866
386.16    0.4879
386.38    0.4892
386.60    0.4905
386.82    0.4918
387.04    0.4931
387.26    0.4944
387.48    0.4957
387.70    0.4970
387.92    0.4983
388.14    0.4996
388.36    0.5009
388.58    0.5022
388.80    0.5035
389.02    0.5048
389.24    0.5061
389.46    0.5073
389.68    0.5086
389.90    0.5099
390.12    0.5112
390.34    0.5125
390.56    0.5137
390.78    0.5150
391.00    0.5163
391.22    0.5176
391.44    0.5188
391.66    0.5201
391.88    0.5214
392.10    0.5227
392.32    0.5239
392.54    0.5252
392.76    0.5265
392.98    0.5277
393.20    0.5290
393.42    0.5302
393.64    0.5315
393.86    0.5328
394.08    0.5340
394.30    0.5353
394.52    0.5365
394.74    0.5378
394.96    0.5390
395.18    0.5403
395.40    0.5415
395.62    0.5428
395.84    0.5440
396.06    0.5452
396.28    0.5465
396.50    0.5477
396.72    0.5490
396.94    0.5502
397.16    0.5514
397.38    0.5527
397.60    0.5539
397.82    0.5551
398.04    0.5564
398.26    0.5576
398.48    0.5588
398.70    0.5600
398.92    0.5612
399.14    0.5625
399.36    0.5637
399.58    0.5649
399.80    0.5661
400.02    0.5673
400.24    0.5685
400.46    0.5697
400.68    0.5710
400.90    0.5722
401.12    0.5734
401.34    0.5746
401.56    0.5758
401.78    0.5770
402.00    0.5782
402.22    0.5794
402.44    0.5806
402.66    0.5817
402.88    0.5829
403.10    0.5841
403.32    0.5853
403.54    0.5865
403.76    0.5877
403.98    0.5889
404.20    0.5900
404.42    0.5912
404.64    0.5924
