# author: Fabian Haberhauer
# source: https://jwst-docs.stsci.edu/files/216457506/216457540/1/1762454226715/nircam_throughputs_Jan2025_v7.zip
# date_created: 2025-12-04
# date_modified: 2025-12-04
# wavelength_unit: um
# changes:
#   - 2025-12-04 (FH) initial transcription from source
#
wavelength  transmission
0.398 0.0
0.399 0.0
0.4 0.0
0.401 0.0
0.402 0.0
0.403 0.0
0.404 0.0
0.405 0.0
0.406 0.0
0.407 0.0
0.408 0.0
0.409 0.0
0.41 0.0
0.411 0.0
0.412 0.0
0.413 0.0
0.414 0.0
0.415 0.0
0.416 0.0
0.417 0.0
0.418 0.0
0.419 0.0
0.42 0.0
0.421 0.0
0.422 0.0
0.423 0.0
0.424 0.0
0.425 0.0
0.426 0.0
0.427 0.0
0.428 0.0
0.429 0.0
0.43 0.0
0.431 0.0
0.432 0.0
0.433 0.0
0.434 0.0
0.435 0.0
0.436 0.0
0.437 0.0
0.438 0.0
0.439 0.0
0.44 0.0
0.441 0.0
0.442 0.0
0.443 0.0
0.444 0.0
0.445 0.0
0.446 0.0
0.447 0.0
0.448 0.0
0.449 0.0
0.45 0.0
0.451 0.0
0.452 0.0
0.453 0.0
0.454 0.0
0.455 0.0
0.456 0.0
0.457 0.0
0.458 0.0
0.459 0.0
0.46 0.0
0.461 0.0
0.462 0.0
0.463 0.0
0.464 0.0
0.465 0.0
0.466 0.0
0.467 0.0
0.468 0.0
0.469 0.0
0.47 0.0
0.471 0.0
0.472 0.0
0.473 0.0
0.474 0.0
0.475 0.0
0.476 0.0
0.477 0.0
0.478 0.0
0.479 0.0
0.48 0.0
0.481 0.0
0.482 0.0
0.483 0.0
0.484 0.0
0.485 0.0
0.486 0.0
0.487 0.0
0.488 0.0
0.489 0.0
0.49 0.0
0.491 0.0
0.492 0.0
0.493 0.0
0.494 0.0
0.495 0.0
0.496 0.0
0.497 0.0
0.498 0.0
0.499 0.0
0.5 0.0
0.501 0.0
0.502 0.0
0.503 0.0
0.504 0.0
0.505 0.0
0.506 0.0
0.507 0.0
0.508 0.0
0.509 0.0
0.51 0.0
0.511 0.0
0.512 0.0
0.513 0.0
0.514 0.0
0.515 0.0
0.516 0.0
0.517 0.0
0.518 0.0
0.519 0.0
0.52 0.0
0.521 0.0
0.522 0.0
0.523 0.0
0.524 0.0
0.525 2.0565787233114233e-07
0.526 8.702551447284899e-07
0.527 1.510226572481611e-06
0.528 1.911395767972306e-06
0.529 1.964335511111897e-06
0.53 1.8115971525679726e-06
0.531 1.6900966958353904e-06
0.532 1.654180621422921e-06
0.533 1.6953796621047827e-06
0.534 1.7704540188005851e-06
0.535 2.030051407837797e-06
0.536 2.501359012255468e-06
0.537 3.313577626234866e-06
0.538 4.57053538485743e-06
0.539 6.948159782827767e-06
0.54 1.0817593386606105e-05
0.541 1.537171899126586e-05
0.542 1.7916170892327557e-05
0.543 1.7101865065835372e-05
0.544 1.363261565000242e-05
0.545 9.889622960631163e-06
0.546 7.000789602241658e-06
0.547 5.3487985917904325e-06
0.548 4.4544125941167286e-06
0.549 4.007995611453433e-06
0.55 3.963352835785476e-06
0.551 4.2673528670841004e-06
0.552 4.7062142053510415e-06
0.553 5.293268322076905e-06
0.554 5.980562446888561e-06
0.555 6.6298775853239615e-06
0.556 6.827342615715561e-06
0.557 6.906285430376302e-06
0.558 5.893540131946212e-06
0.559 4.145559866740278e-06
0.56 4.102239302640457e-06
0.561 4.6427938386508395e-06
0.562 4.4177886299722045e-06
0.563 4.105938723268686e-06
0.564 4.539071895448631e-06
0.565 5.163259375114313e-06
0.566 5.704492721206202e-06
0.567 5.782985784378127e-06
0.568 6.0621345566379915e-06
0.569 6.3580918128803e-06
0.57 6.2584828643433905e-06
0.571 6.600288420502154e-06
0.572 7.805810160022931e-06
0.573 9.277917753556581e-06
0.574 1.0077099772503133e-05
0.575 1.1232894418100439e-05
0.576 1.3521103479635932e-05
0.577 1.5494934313813692e-05
0.578 1.6287703449833545e-05
0.579 1.7039331886492204e-05
0.58 1.888800403185199e-05
0.581 2.322469047638577e-05
0.582 3.129714077346185e-05
0.583 4.698085747565733e-05
0.584 8.374153835809302e-05
0.585 0.000172100390519283
0.586 0.000319119139035196
0.587 0.00042978144222301326
0.588 0.0004036659046489785
0.589 0.0002652173443914969
0.59 0.00014067273056059
0.591 7.933885108148448e-05
0.592 5.530570020783828e-05
0.593 4.244647601235862e-05
0.594 3.5372368959190605e-05
0.595 3.460193549045752e-05
0.596 3.2406689533907e-05
0.597 3.3291617924004334e-05
0.598 3.614663624335351e-05
0.599 3.75793519355723e-05
0.6 4.0785562182373716e-05
0.601 4.551708358911643e-05
0.602 5.284566610891908e-05
0.603 6.448759644230164e-05
0.604 7.858159860461046e-05
0.605 9.118098866236266e-05
0.606 0.00010494428724602038
0.607 0.00011720870907016513
0.608 0.00012056651252748163
0.609 0.00011655065893790674
0.61 0.00010747352551167375
0.611 9.515213313452792e-05
0.612 8.060873020960202e-05
0.613 6.859213992244412e-05
0.614 5.873519908349901e-05
0.615 5.283444665930671e-05
0.616 4.7863655454022695e-05
0.617 4.5150192969202845e-05
0.618 4.463520528778584e-05
0.619 4.161534776473643e-05
0.62 3.872760509703367e-05
0.621 3.695960320526986e-05
0.622 4.1354807578802995e-05
0.623 4.447893482876201e-05
0.624 4.953916224850829e-05
0.625 5.896569709114418e-05
0.626 7.29188251271114e-05
0.627 9.526277241099328e-05
0.628 0.00013359245402597565
0.629 0.00019678801123769075
0.63 0.00029365422150365837
0.631 0.0004146913173228118
0.632 0.0005049882231970841
0.633 0.0005103024594049919
0.634 0.0004343149180205623
0.635 0.0003378555466331077
0.636 0.0002622876075042439
0.637 0.0002188536010179895
0.638 0.0001972253743515084
0.639 0.00019070270662744761
0.64 0.00020158261474971013
0.641 0.00022282505602673328
0.642 0.00025322812997830035
0.643 0.00028524016212785663
0.644 0.0003112325394482502
0.645 0.00031505496888331537
0.646 0.00028734377358944686
0.647 0.00023966092385462813
0.648 0.00018773842628411026
0.649 0.0001492932450052051
0.65 0.00012117298399349675
0.651 9.988637427553474e-05
0.652 8.640969875890995e-05
0.653 8.322384670218896e-05
0.654 8.231552130794759e-05
0.655 8.485809862825786e-05
0.656 9.170546073203963e-05
0.657 0.00010780492378846649
0.658 0.00012717202247880213
0.659 0.00015324041983062362
0.66 0.000184541066716972
0.661 0.00021705150132743975
0.662 0.00022928392853334886
0.663 0.0002187268346873855
0.664 0.00019579457583820297
0.665 0.00017223181532557776
0.666 0.000148304600987348
0.667 0.00012803558812141062
0.668 0.00011849344525466162
0.669 0.00011332726481008487
0.67 0.00011221665049604276
0.671 0.00011317706549954012
0.672 0.00012553073388219698
0.673 0.0001454242268516984
0.674 0.00017271005083047852
