# author : David Jones
# source :  David Jones
# date_created  : 2022-10-21
# description : Telescope transmission for imaging
# wavelength_unit: nm
# action : transmission
wavelength  transmission
300.0   0.0
320.0   0.1
330.0   0.2
354.160 0.3941
366.100 0.4504
378.220 0.5057
389.240 0.5497
398.790 0.5948
412.750 0.6278
431.480 0.6162
450.209 0.5949
468.949 0.6056
487.680 0.6150
506.410 0.6230
525.149 0.6213
543.879 0.6209
562.620 0.6168
581.350 0.6188
600.080 0.6185
618.820 0.5995
637.549 0.5835
656.279 0.5783
675.019 0.5864
693.750 0.5927
712.480 0.5889
731.220 0.5908
749.950 0.5879
768.690 0.5798
787.419 0.5760
806.149 0.5671
824.889 0.5470
843.620 0.5224
862.350 0.5170
880.720 0.5103
899.090 0.5210
917.820 0.5466
936.549 0.5685
954.000 0.5997
969.429 0.5839
984.309 0.5796
996.059 0.5588
1000.0  0.4
1200.0  0.1
