# author : David Jones
# date_created : 2022-03-02
# date_modified : 2022-05-17
# wavelength_unit : angstrom
wavelength    transmission
3625.4        0.044
3801.0        0.103
3983.1        0.161
4170.1        0.212
4361.9        0.257
4558.6        0.297
4760.2        0.329
4964.5        0.350
5175.7        0.360
5391.7        0.360
5612.6        0.355
5838.3        0.344
6068.9        0.332
6302.0        0.321
6542.2        0.313
6787.3        0.309
7037.2        0.309
7291.9        0.320
7551.5        0.325
7815.9        0.332
