# author : David Jones
# date_created : 2022-03-02
# date_modified : 2022-04-11
# wavelength_unit : angstrom
wavelength               transmission
3.300000000000000000e+03 1.000000000000000000e-05
3.953642100000000028e+03 1.089314348448300745e-01
4.000404799999999796e+03 1.869341092003834470e-01
4.400012700000000223e+03 2.802730348619790757e-01
4.620222200000000157e+03 3.488084923382303582e-01
4.840431599999999889e+03 3.642341418977864675e-01
5.000274400000000242e+03 3.624126436913702731e-01
5.100601599999999962e+03 3.527823270773672859e-01
5.351419399999999769e+03 3.078492023991490356e-01
5.490006800000000112e+03 2.838332784368144956e-01
5.610739300000000185e+03 2.556325003445224509e-01
5.690661100000000260e+03 2.306277556562326414e-01
1.050000000000000000e+04 1.000000000000000000e-05
