# author : David Jones
# date_created : 2022-03-02
# date_modified : 2022-05-17
# wavelength_unit : angstrom
wavelength    transmission
7358.8        0.331
7458.0        0.353
7558.9        0.373
7660.4        0.416
7761.1        0.416
7863.6        0.427
7966.7        0.433
8068.9        0.437
8173.0        0.442
8277.6        0.445
8381.4        0.447
8487.1        0.443
8593.3        0.452
8698.6        0.459
8805.9        0.469
8913.6        0.476
9020.5        0.485
9129.3        0.475
9238.7        0.438
9348.5        0.319
9500.0        0.15
