# author : David Jones
# date_created : 2022-03-02
# date_modified : 2022-05-17
# wavelength_unit : angstrom
wavelength    transmission
5598.1        0.303
5697.9        0.332
5799.6        0.362
5901.2        0.389
6004.8        0.413
6108.3        0.432
6213.8        0.448
6320.1        0.461
6426.4        0.469
6534.7        0.476
6642.8        0.480
6753.0        0.480
6863.0        0.475
6975.0        0.464
7087.9        0.451
7200.7        0.435
7315.5        0.413
7430.1        0.390
7546.8        0.373
7664.4        0.355
