# author : David Jones
# date_created : 2022-03-02
# date_modified : 2022-05-17
# wavelength_unit : angstrom
wavelength    transmission
3275.8        0.009
3355.0        0.017
3432.9        0.028
3509.6        0.041
3585.1        0.055
3659.4        0.082
3732.5        0.124
3804.4        0.175
3875.0        0.227
3944.5        0.274
4013.3        0.307
4080.3        0.333
4146.1        0.353
4210.7        0.365
4274.0        0.374
4336.1        0.373
4397.0        0.383
4456.7        0.391
4515.2        0.386
4573.0        0.369
