# author : David Jones
# date_created : 2022-03-02
# date_modified : 2022-05-17
# wavelength_unit : angstrom
wavelength    transmission
4442.4        0.341
4520.1        0.379
4599.1        0.414
4678.8        0.449
4759.1        0.478
4840.0        0.495
4921.5        0.520
5002.9        0.530
5085.8        0.543
5169.2        0.544
5253.3        0.538
5338.0        0.540
5423.3        0.525
5508.4        0.513
5595.0        0.493
5682.2        0.477
5770.1        0.463
5858.6        0.441
5947.7        0.413
6037.4        0.384
