# Trace file for OSIRIS LSS R1000B mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
3.569746237594821348e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -3.071999999999999886e+01
3.750181566842187286e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.748631578947368226e+01
3.935719679364809709e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.425263157894736921e+01
4.126360575162689170e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.101894736842105260e+01
4.322104254235827336e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.778526315789473600e+01
4.522950716584222541e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.455157894736842117e+01
4.728899962207875896e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.131789473684210634e+01
4.939951991106786844e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -8.084210526315789735e+00
5.156106803280954276e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -4.850526315789474907e+00
5.377364398730380968e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.616842105263159413e+00
5.603724777455063588e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.616842105263156082e+00
5.835187939455005468e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 4.850526315789474907e+00
6.071753884730204387e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 8.084210526315786183e+00
6.313422613280660345e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.131789473684209923e+01
6.560194125106373342e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.455157894736841762e+01
6.812068420207345598e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.778526315789473600e+01
7.069045498583574894e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.101894736842104905e+01
7.331125360235062338e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.425263157894736210e+01
7.598308005161805712e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.748631578947367871e+01
7.870593433363808344e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 3.071999999999999886e+01
3.563878686189269618e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -3.071999999999999886e+01
3.744145618996450042e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.748631578947368226e+01
3.929515335078888061e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.425263157894736921e+01
4.119987834436583674e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.101894736842105260e+01
4.315563117069536880e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.778526315789473600e+01
4.516241182977747681e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.455157894736842117e+01
4.722022032161216076e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.131789473684210634e+01
4.932905664619942621e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -8.084210526315789735e+00
5.148892080353926204e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -4.850526315789474907e+00
5.369981279363167381e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.616842105263159413e+00
5.596173261647665598e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.616842105263156082e+00
5.827468027207421963e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 4.850526315789474907e+00
6.063865576042436478e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 8.084210526315786183e+00
6.305365908152709142e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.131789473684209923e+01
6.551969023538237735e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.455157894736841762e+01
6.803674922199025588e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.778526315789473600e+01
7.060483604135069369e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.101894736842104905e+01
7.322395069346371299e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.425263157894736210e+01
7.589409317832931379e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.748631578947367871e+01
7.861526349594749608e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 3.071999999999999886e+01
3.558739933379615472e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -3.071999999999999886e+01
3.738859254805820820e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.748631578947368226e+01
3.924081359507285427e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.425263157894736921e+01
4.114406247484005963e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.101894736842105260e+01
4.309833918735984648e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.778526315789473600e+01
4.510364373263220927e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.455157894736842117e+01
4.715997611065714801e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.131789473684210634e+01
4.926733632143466268e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -8.084210526315789735e+00
5.142572436496475330e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -4.850526315789474907e+00
