# Trace file for OSIRIS LSS R1000R mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
5.032404239186749617e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -3.071999999999999886e+01
5.269043112427503894e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.748631578947368226e+01
5.510602775653056229e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.425263157894736921e+01
5.757083228863405511e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.101894736842105260e+01
6.008484472058553960e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.778526315789473600e+01
6.264806505238499357e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.455157894736842117e+01
6.526049328403242811e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.131789473684210634e+01
6.792212941552783212e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -8.084210526315789735e+00
7.063297344687122781e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -4.850526315789474907e+00
7.339302537806259297e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.616842105263159413e+00
7.620228520910193870e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.616842105263156082e+00
7.906075293998926501e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 4.850526315789474907e+00
8.196842857072457189e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 8.084210526315786183e+00
8.492531210130784824e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.131789473684209923e+01
8.793140353173910517e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.455157894736841762e+01
9.098670286201834267e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.778526315789473600e+01
9.409121009214553855e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.101894736842104905e+01
9.724492522212073720e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.425263157894736210e+01
1.004478482519439053e+00 -2.540000000000000000e+02 -3.000000000000000000e+01 2.748631578947367871e+01
1.036999791816150651e+00 -2.540000000000000000e+02 -3.000000000000000000e+01 3.071999999999999886e+01
5.018553932916505200e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -3.071999999999999886e+01
5.254901588737607154e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.748631578947368226e+01
5.496170034543507166e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.425263157894736921e+01
5.742359270334204124e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.101894736842105260e+01
5.993469296109696920e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.778526315789473600e+01
6.249500111869989993e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.455157894736842117e+01
6.510451717615081124e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.131789473684210634e+01
6.776324113344969202e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -8.084210526315789735e+00
7.047117299059654227e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -4.850526315789474907e+00
7.322831274759138420e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.616842105263159413e+00
7.603466040443420670e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.616842105263156082e+00
7.889021596112499868e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 4.850526315789474907e+00
8.179497941766377123e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 8.084210526315786183e+00
8.474895077405052435e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.131789473684209923e+01
8.775213003028524694e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.455157894736841762e+01
9.080451718636796121e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.778526315789473600e+01
9.390611224229862275e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.101894736842104905e+01
9.705691519807727596e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.425263157894736210e+01
1.002569260537039320e+00 -2.272631578947368496e+02 -2.684210526315789380e+01 2.748631578947367871e+01
1.035061448091785463e+00 -2.272631578947368496e+02 -2.684210526315789380e+01 3.071999999999999886e+01
5.006285726626796828e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -3.071999999999999886e+01
5.242375127191427620e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.748631578947368226e+01
5.483385317740855358e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.425263157894736921e+01
5.729316298275082264e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.101894736842105260e+01
5.980168068794106118e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.778526315789473600e+01
6.235940629297928028e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.455157894736842117e+01
