# Trace file for OSIRIS LSS R2500I mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
7.301457970778554296e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -3.071999999999999886e+01
7.441716749078393089e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.748631578947368226e+01
7.583004953650106517e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.425263157894736921e+01
7.725322584493696798e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.101894736842105260e+01
7.868669641609161713e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.778526315789473600e+01
8.013046124996502373e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.455157894736842117e+01
8.158452034655720997e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.131789473684210634e+01
8.304887370586812034e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -8.084210526315789735e+00
8.452352132789782146e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -4.850526315789474907e+00
8.600846321264628003e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.616842105263159413e+00
8.750369936011348493e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.616842105263156082e+00
8.900922977029944727e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 4.850526315789474907e+00
9.052505444320417816e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 8.084210526315786183e+00
9.205117337882766648e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.131789473684209923e+01
9.358758657716990115e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.455157894736841762e+01
9.513429403823091546e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.778526315789473600e+01
9.669129576201065390e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.101894736842104905e+01
9.825859174850919420e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.425263157894736210e+01
9.983618199772648083e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.748631578947367871e+01
