# Trace file for OSIRIS LSS R2500V mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
4.408548141186213742e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -3.071999999999999886e+01
4.488722887195589761e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.748631578947368226e+01
4.569561797176864282e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.425263157894736921e+01
4.651064871130040079e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -2.101894736842105260e+01
4.733232109055114933e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.778526315789473600e+01
4.816063510952091065e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.455157894736842117e+01
4.899559076820969028e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.131789473684210634e+01
4.983718806661744938e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -8.084210526315789735e+00
5.068542700474422125e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -4.850526315789474907e+00
5.154030758258998368e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 -1.616842105263159413e+00
5.240182980015476444e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.616842105263156082e+00
5.326999365743854131e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 4.850526315789474907e+00
5.414479915444131430e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 8.084210526315786183e+00
5.502624629116309452e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.131789473684209923e+01
5.591433506760388195e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.455157894736841762e+01
5.680906548376367660e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 1.778526315789473600e+01
5.771043753964245626e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.101894736842104905e+01
5.861845123524025425e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.425263157894736210e+01
5.953310657055704835e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 2.748631578947367871e+01
6.045440354559284968e-01 -2.540000000000000000e+02 -3.000000000000000000e+01 3.071999999999999886e+01
4.403919087862265824e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -3.071999999999999886e+01
4.484055318220803166e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.748631578947368226e+01
4.564855712551240674e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.425263157894736921e+01
4.646320270853578349e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.101894736842105260e+01
4.728448993127816746e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.778526315789473600e+01
4.811241879373956420e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.455157894736842117e+01
4.894698929591995151e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.131789473684210634e+01
4.978820143781933494e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -8.084210526315789735e+00
5.063605521943773669e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -4.850526315789474907e+00
5.149055064077513455e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.616842105263159413e+00
5.235168770183153963e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.616842105263156082e+00
5.321946640260694084e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 4.850526315789474907e+00
5.409388674310133815e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 8.084210526315786183e+00
5.497494872331475380e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.131789473684209923e+01
5.586265234324715445e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.455157894736841762e+01
5.675699760289858453e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.778526315789473600e+01
5.765798450226899963e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.101894736842104905e+01
5.856561304135841084e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.425263157894736210e+01
5.947988322016682927e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.748631578947367871e+01
6.040079503869426603e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 3.071999999999999886e+01
4.399890203407231803e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -3.071999999999999886e+01
4.479992896633600563e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.748631578947368226e+01
4.560759753831870045e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.425263157894736921e+01
4.642190775002039138e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -2.101894736842105260e+01
4.724285960144108953e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.778526315789473600e+01
4.807045309258077825e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.455157894736842117e+01
4.890468822343947974e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.131789473684210634e+01
4.974556499401717735e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -8.084210526315789735e+00
5.059308340431389883e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -4.850526315789474907e+00
5.144724345432960533e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.616842105263159413e+00
5.230804514406430794e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.616842105263156082e+00
5.317548847351801777e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 4.850526315789474907e+00
5.404957344269073483e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 8.084210526315786183e+00
5.493030005158247020e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.131789473684209923e+01
5.581766830019317949e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.455157894736841762e+01
5.671167818852290710e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.778526315789473600e+01
5.761232971657163082e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.101894736842104905e+01
5.851962288433936177e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.425263157894736210e+01
5.943355769182609993e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.748631578947367871e+01
6.035413413903183422e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 3.071999999999999886e+01
4.396460733646336827e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -3.071999999999999886e+01
4.476534868259204880e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.748631578947368226e+01
