# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f105w_mjd_004_syn.fits
# wavelength_unit: Angstrom
 wavelength   transmission 
  7550.0786            0.0 
  7551.0786            0.0 
  7552.0786   9.969023e-05 
  7602.0923   9.969023e-05 
   7652.106   9.966029e-05 
   7702.119   9.972018e-05 
   7752.133   9.975013e-05 
   7802.146  9.9710196e-05 
  7952.1865   9.973016e-05 
   8252.268   9.967027e-05 
   8302.281  9.9710196e-05 
   8452.322      9.982e-05 
   8602.362  0.00019944036 
   8842.428  0.00065841276 
   8862.433   0.0011569138 
   8882.438   0.0017757978 
   8902.443   0.0028937818 
   8922.449   0.0053882836 
   8942.454     0.01058092 
    8962.46     0.02005384 
   8982.465    0.040407136 
   9002.471     0.08340959 
   9022.477     0.17079203 
   9042.481       0.320522 
   9062.487       0.521859 
   9082.492       0.717606 
   9102.498      0.8513648 
   9122.503     0.91984135 
   9142.509     0.95178366 
   9162.514     0.96256423 
    9182.52     0.95717394 
   9202.524      0.9427999 
    9222.53      0.9287253 
   9242.535      0.9249321 
   9262.541     0.93401575 
   9282.547      0.9466929 
   9302.552     0.95308137 
   9322.558     0.94998693 
  9342.5625      0.9417019 
   9362.568      0.9359123 
   9382.573      0.9397055 
   9402.579      0.9501866 
   9422.584      0.9631632 
    9442.59      0.9679545 
   9462.595      0.9633628 
   9482.601      0.9508853 
   9502.606     0.94120276 
   9522.611      0.9379087 
   9542.617      0.9423008 
   9562.622      0.9476911 
   9582.628     0.94988716 
   9602.633     0.94339883 
   9622.639     0.93221897 
   9642.644      0.9218377 
   9662.649     0.91904277 
   9682.655     0.92483234 
    9702.66      0.9368107 
   9722.666      0.9472918 
   9742.671     0.95298153 
   9762.677     0.95258224 
   9782.682      0.9522828 
  9802.6875      0.9537801 
   9822.692      0.9619653 
   9842.698     0.97384393 
   9862.703      0.9842252 
   9882.709      0.9868205 
   9902.715      0.9796335 
    9922.72      0.9658583 
   9942.726      0.9536803 
    9962.73     0.94549507 
   9982.736     0.94499594 
  10002.741      0.9476911 
  10022.747     0.95248246 
  10042.752      0.9520832 
  10062.758      0.9445967 
  10082.763      0.9323188 
  10102.769      0.9220373 
  10122.774     0.91275406 
  10142.779      0.9114564 
  10162.785      0.9156488 
   10182.79     0.92173785 
  10202.796      0.9260301 
  10222.801     0.92812634 
  10242.807      0.9268287 
  10262.812      0.9265292 
  10282.817      0.9293242 
  10302.823      0.9379087 
  10322.828     0.95118475 
  10342.834      0.9663574 
  10362.839      0.9768385 
  10382.844      0.9827279 
   10402.85     0.98162985 
  10422.855     0.97384393 
  10442.861      0.9667567 
  10462.866      0.9608673 
  10482.872      0.9603683 
  10502.877      0.9633628 
  10522.882     0.96705616 
  10542.888     0.96985114 
  10562.893      0.9692522 
  10582.899     0.96505976 
  10602.904      0.9605679 
   10622.91     0.95617574 
  10642.915      0.9537801 
   10662.92     0.95358044 
  10682.926      0.9560759 
  10702.931     0.95617574 
  10722.937      0.9559761 
  10742.942      0.9531812 
  10762.948     0.95058584 
  10782.953     0.95028645 
  10802.958      0.9501866 
  10822.964     0.95407957 
  10842.969      0.9601686 
  10862.975      0.9681542 
   10882.98      0.9741434 
  10902.986      0.9775373 
  10922.991       0.978236 
  10942.996       0.977138 
  10963.002     0.97534126 
  10983.007     0.97224677 
  11003.013     0.97104895 
  11023.018       0.969951 
  11043.024     0.96745545 
  11063.029      0.9631632 
  11083.034      0.9568745 
   11103.04      0.9487891 
  11123.045      0.9413026 
  11143.051     0.93421537 
  11163.056      0.9285256 
  11183.061      0.9251318 
  11203.067      0.9238341 
  11223.072     0.92483234 
  11243.078      0.9282262 
  11263.083     0.93261826 
  11283.089      0.9363116 
  11303.094      0.9417019 
  11323.099      0.9456946 
  11343.105      0.9468925 
   11363.11     0.94898874 
  11383.116      0.9514842 
  11403.121      0.9533808 
  11423.127      0.9545787 
  11443.132      0.9568745 
  11463.137      0.9597693 
  11483.143      0.9619653 
  11503.148     0.96266407 
  11523.154      0.9595697 
  11543.159      0.9537801 
  11563.165      0.9460939 
   11583.17     0.93880713 
  11603.175      0.9329177 
  11623.181      0.9309213 
  11643.186     0.93361646 
  11663.192      0.9378089 
  11683.197     0.94449687 
  11703.203     0.95178366 
  11723.208     0.95807236 
  11743.213     0.96306336 
  11763.219      0.9673556 
  11783.224     0.96985114 
   11803.23      0.9663574 
  11823.235     0.95358044 
  11843.241      0.9325184 
  11863.246       0.910059 
  11883.251     0.90017676 
  11903.257      0.9120553 
  11923.262     0.94679266 
  11943.268      0.9527819 
  11963.273     0.82541156 
  11983.279      0.5554983 
  12003.284     0.30864343 
  12023.289     0.16440354 
  12043.295    0.089059405 
    12063.3    0.050349206 
  12083.306    0.029476846 
  12103.311    0.017658157 
  12123.317    0.010900345 
  12143.322   0.0064274096 
  12163.328   0.0038720178 
  12183.333   0.0022349698 
  12203.338   0.0014963018 
  12223.344   0.0008781165 
  12243.349  0.00035925218 
  12263.355  9.9780074e-05 
  13503.692   9.975013e-05 
  14253.895  9.9770084e-05 
  14704.018   9.975013e-05 
  14904.072   9.975013e-05 
  16004.371   9.975013e-05 
  19155.229   0.0002993602 
  19205.242     0.00089838 
  19255.256     0.00209622 
   19305.27   0.0050898218 
  19355.283    0.010171657 
  19405.297    0.015561938 
   19455.31    0.019854197 
  19505.324    0.025044838 
  19555.338     0.03472738 
  19605.352    0.057276715 
  19655.363    0.117088854 
  19705.379     0.30215517 
  19755.393     0.65072656 
  19805.404     0.52195877 
   19855.42       0.295567 
  19905.432     0.20852399 
  19955.445     0.18376862 
   20005.46     0.19135493 
   20006.46            0.0 
   20007.46            0.0 
