# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f125w_mjd_004_syn.fits
# wavelength_unit: Angstrom
 wavelength    transmission 
  6999.9307             0.0 
  7000.9307             0.0 
  7001.9307   4.0066457e-08 
   7061.947    3.463296e-07 
   7121.963   6.1905176e-08 
  7141.9683    4.976782e-07 
  7161.9736    8.332424e-08 
   7181.979   4.1949612e-08 
  7221.9897   4.2207134e-08 
   7241.995   3.3870347e-07 
  7262.0005   2.1376245e-08 
   7282.006   6.8630004e-07 
  7322.0166   1.2970455e-07 
   7342.022   5.8746036e-07 
  7382.0327   1.5318247e-07 
   7402.038   5.9383433e-07 
  7442.0493   2.2155889e-07 
  7462.0547   2.8972468e-07 
  7502.0654   1.1234859e-07 
   7522.071   1.5770776e-07 
   7542.076   2.4899808e-07 
  7562.0815   7.7710797e-07 
  7622.0977   5.2899196e-07 
   7642.103   9.0134023e-07 
  7662.1084   7.1757734e-07 
   7682.114    4.870949e-07 
   7702.119    7.461899e-07 
  7722.1245   4.2208117e-07 
    7742.13   3.5328145e-07 
  7762.1353   3.3032228e-07 
   7842.157   5.7246694e-07 
  7862.1626    9.837788e-07 
   7882.168    1.226405e-06 
  7902.1733    8.911655e-07 
  7922.1787    1.448958e-07 
   7942.184   2.9097978e-07 
  7962.1895    5.603815e-07 
   7982.195    9.747873e-08 
     8002.2   5.3732487e-07 
  8022.2056   5.1513945e-07 
   8042.211   1.4257754e-06 
  8062.2163    8.624771e-07 
  8082.2217    5.187246e-07 
  8102.2275   9.4155786e-07 
   8122.233    5.725969e-07 
   8182.249    6.517289e-07 
   8202.254   1.1327195e-06 
    8222.26   2.7073065e-06 
   8242.265   3.5053597e-06 
  8262.2705   1.7859082e-06 
   8282.276   2.8506254e-06 
   8302.281   2.1223368e-06 
   8322.287   3.9018857e-07 
   8342.292   1.8290546e-06 
   8362.298   1.7362552e-06 
   8382.303   2.8383301e-06 
   8402.309   5.0674944e-06 
   8422.313   4.5143306e-06 
   8442.319   2.9528258e-06 
   8462.324   1.1175401e-06 
   8522.341    8.078016e-07 
   8542.347   6.4118103e-06 
   8562.352   5.3587587e-06 
   8582.357   8.5190766e-07 
   8602.362   2.7944557e-06 
   8622.368   4.5455063e-06 
   8642.373   2.8389602e-06 
    8702.39   4.6238742e-07 
   8722.395   5.0129584e-06 
     8742.4    1.217752e-06 
   8922.449   1.7493281e-05 
    8962.46   6.0788766e-06 
   8982.465   6.7525507e-06 
   9022.477      8.2746e-06 
   9042.481   3.9491865e-06 
   9082.492   1.0789713e-05 
   9102.498    8.029022e-06 
   9142.509   1.2544209e-05 
   9162.514   3.2539734e-07 
   9202.524    8.633375e-06 
    9222.53   1.3519257e-06 
   9262.541   1.2124066e-05 
   9282.547   1.0570881e-06 
   9322.558    6.362856e-07 
  9342.5625   6.6026956e-07 
   9362.568    1.040491e-05 
   9422.584   1.2583191e-05 
    9442.59   2.8411853e-07 
   9482.601    1.198005e-05 
   9502.606    1.635492e-06 
   9542.617   8.8680845e-06 
   9562.622    1.949614e-06 
   9602.633    5.037145e-06 
   9642.644   1.4842783e-06 
   9662.649   5.6140825e-06 
    9702.66   5.6950194e-06 
   9742.671   1.2730654e-06 
   9762.677    6.409202e-06 
   9822.692    8.122412e-06 
   9882.709   1.0209901e-05 
    9922.72    1.934415e-07 
   9942.726    8.028215e-06 
   9982.736   2.2260435e-06 
  10002.741   6.3964535e-06 
  10042.752   5.5577743e-06 
  10062.758   2.2530849e-06 
  10082.763   4.2489555e-06 
  10102.769    7.905943e-06 
  10122.774   4.2542915e-06 
  10142.779   2.5110764e-06 
  10162.785   1.0149164e-05 
   10182.79    4.124459e-06 
  10202.796    3.368853e-06 
  10222.801   1.2611443e-05 
  10242.807   4.9270693e-06 
  10262.812    4.907007e-06 
  10282.817   1.2572067e-05 
  10302.823    5.750215e-06 
  10322.828    8.587748e-06 
  10342.834   1.2312482e-05 
  10362.839    8.503916e-06 
  10382.844   1.3150402e-05 
