# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f153m_mjd_004_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission 
  6999.9307           0.0 
  7000.9307           0.0 
  7001.9307     9.987e-05 
   7051.944     9.988e-05 
  7101.9575     9.984e-05 
  7151.9707     9.985e-05 
  7201.9844     0.0001998 
   7251.998     0.0001998 
   7302.011     0.0001997 
   7352.025     0.0002996 
   7402.038     0.0005993 
   7452.052     0.0007991 
  7502.0654     0.0009986 
  7552.0786      0.001898 
  7602.0923      0.006292 
   7652.106       0.01038 
   7702.119       0.01678 
   7752.133      0.009093 
   7802.146       0.06443 
  7852.1597       0.01369 
  7902.1733      0.002996 
  7952.1865     0.0007993 
     8002.2        0.0002 
   8052.214     0.0002997 
  8102.2275     0.0001997 
  8152.2407     0.0001998 
   8202.254      9.99e-05 
   8252.268     0.0001997 
   8302.281     0.0001998 
   8352.295     9.995e-05 
   8402.309     9.994e-05 
   8452.322     0.0002001 
   8502.335         1e-04 
   8552.349     0.0002001 
   8602.362     0.0003996 
   8752.403     0.0001998 
    8852.43     0.0003998 
   8902.443     0.0001999 
   8952.457     0.0003998 
   9002.471     0.0002999 
   9052.484     0.0005996 
   9102.498     0.0002999 
   9152.511     9.994e-05 
   9202.524     0.0001999 
   9252.538     0.0005997 
   9302.552     0.0005998 
   9352.565     0.0002997 
   9402.579     9.995e-05 
   9452.593     9.994e-05 
   9502.606     0.0003998 
   9552.619     0.0003998 
   9602.633     0.0001999 
   9652.646     0.0001998 
   9752.674     0.0002998 
  9802.6875     0.0002998 
   9852.701     0.0001999 
   9952.728     0.0001999 
  10002.741     0.0004996 
  10052.755     9.995e-05 
  10102.769     9.991e-05 
  10152.782     0.0006993 
  10202.796     0.0004997 
  10252.809     9.992e-05 
  10302.823     9.991e-05 
  10352.836     0.0001998 
   10402.85     0.0002997 
  10452.863     0.0003997 
  10502.877     9.996e-05 
  10652.918     0.0001998 
  10702.931     9.993e-05 
  10752.945     0.0002999 
  10802.958     0.0002999 
  10852.972     0.0002998 
  10902.986     0.0001999 
  10952.999     0.0006993 
  11003.013     9.992e-05 
  11053.026     0.0001999 
   11103.04     0.0004997 
  11153.053     0.0001998 
  11203.067     0.0004995 
   11253.08     0.0008991 
  11303.094     9.994e-05 
  11353.108     0.0001999 
  11403.121     0.0004997 
  11453.135     0.0002999 
  11503.148     0.0003997 
  11553.162     0.0003996 
  11653.189     0.0001998 
  11703.203     9.991e-05 
   11803.23     0.0001998 
  11853.243     0.0001999 
  11903.257     0.0003999 
   11953.27     0.0003997 
  12003.284     0.0002998 
  12053.298     0.0004996 
  12203.338     0.0005997 
  12253.352     0.0003999 
  12303.366     0.0002999 
  12403.393     9.996e-05 
  12453.406     9.993e-05 
   12503.42     0.0003997 
  12553.433     0.0002998 
  12603.447     0.0005996 
  12653.461     9.995e-05 
  12703.474     0.0001999 
  12803.501     0.0003999 
  12853.515     0.0002999 
  12903.528     0.0002998 
  12953.542     0.0004998 
  13003.556     0.0006994 
  13103.583     9.996e-05 
   13203.61     0.0003998 
  13303.637     0.0001999 
  13353.651     0.0001999 
  13503.692     0.0004997 
  13553.705         1e-04 
  13603.719     9.994e-05 
  13653.732     0.0005994 
  13703.746     9.997e-05 
    13903.8     0.0001999 
  13953.814     0.0001999 
  14003.827        0.0003 
  14053.841        0.0002 
  14103.855     0.0001999 
  14153.868     9.997e-05 
  14203.882     0.0002998 
  14253.895     0.0001999 
  14303.909     0.0002999 
  14353.923     0.0001999 
   14453.95     0.0003999 
  14503.963     0.0003999 
  14553.977     0.0002998 
  14603.991     0.0002999 
  14654.004     0.0001999 
  14704.018     0.0002998 
   14714.02     0.0007395 
  14724.023     0.0002798 
  14734.026     0.0005197 
  14744.029     0.0005598 
  14754.031     0.0006997 
  14764.034     0.0009197 
  14774.037     0.0008397 
  14784.039       0.00106 
  14794.042      0.001379 
  14804.045      0.001599 
  14814.048      0.002279 
   14824.05      0.002659 
  14834.053      0.003538 
