# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f098m_mjd_004_syn.fits
# wavelength_unit: Angstrom
 wavelength   transmission 
  6999.9307            0.0 
  7000.9307            0.0 
  7001.9307  9.8621626e-05 
   7051.944  9.8631506e-05 
  7101.9575     9.8592e-05 
  7151.9707   9.860188e-05 
  7201.9844   9.864137e-05 
   7251.998   9.864137e-05 
   7302.011  9.8621626e-05 
   7352.025  9.8621626e-05 
   7402.038   9.864137e-05 
   7452.052   9.864137e-05 
  7502.0654   9.861175e-05 
  7552.0786  9.8621626e-05 
  7602.0923  9.8621626e-05 
   7652.106     9.8592e-05 
   7702.119  9.8651246e-05 
   7752.133   9.868088e-05 
   7802.146   9.864137e-05 
  7952.1865   9.866113e-05 
   8252.268   9.860188e-05 
   8302.281   9.864137e-05 
   8352.295   9.870062e-05 
   8452.322  9.8749995e-05 
   8552.349  9.8749995e-05 
   8602.362  0.00029595377 
   8802.416   0.0008881575 
   8812.419   0.0011247626 
   8822.422   0.0014605125 
   8832.425   0.0019937626 
   8842.428    0.002822275 
    8852.43   0.0037505252 
   8862.433    0.005191288 
   8872.436     0.00663205 
   8882.438    0.009257813 
    8892.44    0.012669626 
   8902.443    0.017468875 
   8912.446    0.024776375 
   8922.449    0.035243873 
   8932.452      0.0508365 
   8942.454     0.07334163 
   8952.457     0.10576125 
    8962.46     0.15227251 
   8972.463       0.213695 
   8982.465     0.29378128 
   8992.468     0.38996375 
   9002.471     0.49740377 
   9012.474     0.61037374 
   9022.477     0.71524626 
   9032.479      0.8027388 
   9042.481      0.8703825 
   9052.484      0.9145238 
   9062.487      0.9398037 
   9072.489      0.9497775 
   9082.492      0.9518513 
   9092.495      0.9508637 
   9102.498      0.9482963 
     9112.5     0.94553125 
   9122.503      0.9434575 
   9132.506        0.93931 
   9142.509     0.93684125 
   9152.511        0.93457 
   9162.514         0.9322 
   9172.517     0.93160754 
    9182.52     0.93081754 
   9192.522      0.9319038 
   9202.524     0.93210125 
   9212.527      0.9363475 
    9222.53      0.9401987 
   9232.533      0.9443463 
   9242.535     0.94908625 
   9252.538      0.9504687 
   9262.541      0.9524438 
   9272.544      0.9537275 
   9282.547      0.9545175 
   9292.549      0.9548138 
   9302.552      0.9544187 
   9312.555      0.9541225 
   9322.558     0.95491254 
    9332.56      0.9544187 
  9342.5625      0.9552088 
   9352.565     0.95530754 
   9362.568      0.9559988 
    9372.57      0.9572825 
   9382.573      0.9585663 
   9392.576      0.9564925 
   9402.579      0.9559988 
   9412.582      0.9512588 
   9422.584     0.94632125 
   9432.587      0.9407913 
    9442.59     0.93526125 
   9452.593     0.93131125 
   9462.595      0.9296325 
   9472.598        0.92904 
   9482.601        0.93141 
   9492.604      0.9359525 
   9502.606         0.9401 
   9512.608      0.9421738 
   9522.611      0.9430625 
   9532.614     0.94197625 
   9542.617     0.93842125 
   9552.619      0.9342738 
   9562.622       0.929435 
   9572.625       0.927065 
   9582.628        0.92509 
   9592.631      0.9243988 
   9602.633     0.92410254 
   9612.636     0.92489254 
   9622.639       0.924695 
   9632.642     0.92341125 
   9642.644      0.9217325 
   9652.646      0.9196587 
   9662.649      0.9185725 
   9672.652     0.91827625 
   9682.655      0.9185725 
   9692.657       0.919955 
    9702.66     0.92143625 
   9712.663     0.92420125 
   9722.666      0.9256825 
   9732.668      0.9256825 
   9742.671      0.9259787 
   9752.674        0.92509 
   9762.677       0.925485 
    9772.68       0.925485 
   9782.682     0.92815125 
   9792.685      0.9320025 
  9802.6875      0.9367425 
    9812.69     0.94276625 
   9822.692      0.9477038 
   9832.695     0.95106125 
   9842.698      0.9536287 
   9852.701       0.954715 
   9862.703      0.9544187 
   9872.706     0.95343125 
   9882.709     0.95175254 
   9892.712     0.95066625 
   9902.715     0.94859254 
   9912.717     0.94780254 
    9922.72      0.9447413 
   9932.723      0.9425688 
   9942.726      0.9394088 
   9952.728      0.9350638 
    9962.73     0.93081754 
   9972.733      0.9267687 
   9982.736       0.923905 
