# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f110w_mjd_004_syn.fits
# wavelength_unit: Angstrom
 wavelength    transmission 
  6999.9307             0.0 
  7000.9307             0.0 
  7001.9307   3.4283386e-07 
   7021.936   1.2971383e-06 
  7041.9414    1.954389e-06 
   7061.947   4.0999205e-07 
   7081.952   2.2690371e-07 
  7101.9575   3.9233882e-07 
   7121.963    5.194916e-07 
  7141.9683    7.302081e-07 
  7161.9736   1.4680955e-07 
   7181.979    2.534329e-07 
  7201.9844    8.904912e-07 
  7221.9897   3.8222123e-07 
   7241.995    6.394109e-08 
  7262.0005    5.376644e-07 
   7282.006   2.3741426e-07 
   7302.011    6.053601e-07 
  7322.0166   1.0446419e-06 
   7342.022   1.0504561e-06 
  7362.0273   5.6983725e-07 
  7382.0327   4.4069594e-08 
   7402.038    6.199586e-07 
  7422.0435   8.8926846e-08 
  7442.0493   6.2423896e-07 
  7462.0547   3.5901306e-07 
    7482.06   4.7333856e-07 
  7502.0654    8.582704e-07 
   7522.071   4.5319208e-08 
   7542.076   1.8223862e-07 
  7562.0815    2.528116e-07 
   7582.087    7.355796e-07 
  7602.0923    6.208452e-07 
  7622.0977     3.93376e-07 
   7642.103    8.368255e-07 
  7662.1084   2.7938364e-07 
   7682.114   1.6330988e-07 
   7702.119    2.111364e-07 
  7722.1245    7.778412e-07 
    7742.13   8.5216294e-07 
  7762.1353   4.5072974e-07 
  7782.1406   7.3732883e-07 
   7802.146   4.0667302e-07 
  7822.1514   1.4591697e-06 
   7842.157    2.639893e-07 
  7862.1626   2.8970868e-07 
   7882.168   1.0153511e-06 
  7902.1733   1.9846173e-06 
  7922.1787    6.311932e-07 
   7942.184    9.992049e-07 
  7962.1895   4.4056227e-07 
   7982.195   7.5888653e-07 
     8002.2   3.4376933e-07 
  8022.2056    7.155578e-07 
   8042.211   1.1119995e-06 
  8062.2163   3.2182174e-07 
  8082.2217    4.965826e-08 
  8102.2275   4.2394726e-07 
   8122.233    1.026531e-06 
  8142.2383   1.8791925e-06 
  8162.2437    4.268454e-07 
   8182.249    6.812845e-07 
   8202.254   1.1405024e-06 
    8222.26   2.8009672e-06 
   8242.265    9.966897e-07 
  8262.2705    2.824653e-07 
   8282.276   2.2241086e-06 
   8302.281    1.198625e-06 
   8322.287   2.4079209e-06 
   8342.292   3.3393096e-06 
   8362.298    9.003754e-07 
   8382.303   4.0049777e-06 
   8402.309    6.091698e-06 
   8422.313   2.0278899e-06 
   8442.319   5.3994722e-06 
   8462.324   6.7212836e-06 
    8482.33   3.5955858e-07 
   8502.335   1.1703415e-06 
   8652.376   0.00010465068 
   8662.379   0.00033840284 
   8672.382   0.00039588823 
   8682.384   0.00025047292 
   8692.387    0.0005266083 
    8702.39    0.0006219422 
   8712.393    0.0006082792 
   8722.395    0.0009616176 
   8732.397    0.0011949749 
     8742.4    0.0012425062 
   8752.403    0.0016024717 
   8762.405      0.00227167 
   8772.408     0.002938445 
   8782.411     0.003598049 
   8792.414    0.0047495216 
   8802.416    0.0061757704 
   8812.419     0.008108668 
   8822.422     0.010732744 
   8832.425     0.014458955 
   8842.428     0.019408856 
    8852.43     0.026095053 
   8862.433     0.035063673 
   8872.436     0.046865024 
   8882.438      0.06204602 
    8892.44     0.081562586 
   8902.443      0.10669116 
   8912.446      0.13721153 
   8922.449      0.17213498 
   8932.452      0.21248475 
   8942.454      0.25902972 
   8952.457      0.31021816 
    8962.46      0.36494198 
   8972.463      0.42261285 
   8982.465      0.48230627 
   8992.468      0.54174435 
   9002.471       0.5988178 
   9012.474       0.6521614 
   9022.477       0.6997995 
   9032.479      0.74234223 
   9042.481      0.77784115 
   9052.484      0.80540454 
   9062.487        0.825193 
   9072.489       0.8387902 
   9082.492      0.84601456 
   9092.495      0.84816676 
   9102.498       0.8467486 
     9112.5      0.84345853 
   9122.503      0.84004974 
   9132.506       0.8373142 
   9142.509      0.83601767 
   9152.511       0.8373052 
   9162.514       0.8418429 
   9172.517      0.84934855 
