# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f130n_mjd_004_syn.fits
# wavelength_unit: Angstrom
 wavelength   transmission 
   7300.011            0.0 
   7301.011            0.0 
   7302.011   9.727241e-05 
   7652.106   9.724707e-05 
   7702.119   9.729773e-05 
   7752.133   9.732694e-05 
   7802.146   9.729091e-05 
   8952.457  0.00019474156 
   9452.593   9.737467e-05 
   9652.646  9.7355194e-05 
  9802.6875   9.733669e-05 
  10352.836  9.7321106e-05 
  10452.863   9.733864e-05 
  10852.972  0.00029201494 
  11153.053  0.00038925908 
  11353.108   9.734156e-05 
  11603.175   9.730065e-05 
   11953.27  9.7365904e-05 
  12003.284   9.734935e-05 
  12153.325   0.0001947513 
  12803.501   9.738052e-05 
  12885.524  0.00013247374 
  12887.524   0.0005182167 
  12889.525   0.0008065694 
  12891.525   0.0009001026 
  12893.526   0.0015781722 
  12895.526   0.0022561734 
  12897.527   0.0032265696 
  12899.527   0.0040020687 
  12901.528     0.00565446 
  12903.528    0.007501748 
  12905.529    0.010440306 
   12907.53    0.013768463 
   12909.53    0.018752422 
  12911.531    0.025295753 
  12913.531    0.035248086 
  12915.532    0.048611365 
  12917.532     0.06743002 
  12919.533     0.09326342 
  12921.533     0.12825632 
  12923.534     0.17289473 
  12925.534     0.23048736 
  12927.535     0.29811218 
  12929.536     0.37743473 
  12931.536      0.4608481 
  12933.537     0.54913145 
  12935.537      0.6325253 
  12937.538     0.70840967 
  12939.538      0.7717294 
  12941.539      0.8386432 
  12943.539     0.86893463 
   12945.54      0.8859698 
   12947.54      0.8937521 
  12949.541       0.895106 
  12951.542      0.8934404 
  12953.542      0.8901191 
  12955.543     0.88631076 
  12957.543     0.88337904 
  12959.544     0.88190824 
  12961.544     0.88120705 
  12963.545     0.88168424 
  12965.545     0.88333035 
  12967.546      0.8855608 
  12969.546      0.8877913 
  12971.547      0.8915703 
  12973.548     0.89565146 
  12975.548      0.9004143 
  12977.549     0.90459275 
  12979.549     0.90789455 
   12981.55      0.9116737 
   12983.55     0.91555995 
  12985.551     0.91917354 
  12987.551     0.92239743 
  12989.552       0.925524 
  12991.552      0.9283584 
  12993.553     0.93080306 
  12995.553     0.93246865 
  12997.554       0.934027 
  12999.555      0.9358874 
  13001.555     0.93657887 
  13003.556     0.93629646 
  13005.556      0.9356244 
  13007.557      0.9358289 
  13009.557     0.93593603 
  13011.558      0.9361406 
  13013.558     0.93576074 
  13015.559     0.93577045 
  13017.559       0.936462 
   13019.56     0.93676394 
  13021.561      0.9375529 
  13023.561     0.93853664 
  13025.562      0.9383516 
  13027.562     0.93836135 
  13029.563     0.93944246 
  13031.563     0.94032884 
  13033.564      0.9400463 
  13035.564      0.9402314 
  13037.565     0.93963724 
  13039.565      0.9395301 
  13041.566     0.93893594 
  13043.567     0.93766004 
  13045.567      0.9360919 
  13047.568     0.93393934 
  13049.568      0.9321764 
  13051.569      0.9302089 
  13053.569     0.92873824 
   13055.57     0.92765707 
   13057.57      0.9256019 
  13059.571     0.92422855 
  13061.571     0.92373186 
  13063.572     0.92390716 
  13065.573      0.9236052 
  13067.573      0.9226215 
  13069.574     0.92027414 
  13071.574      0.9137386 
  13073.575     0.89522284 
  13075.575      0.8706683 
  13077.576     0.83462054 
  13079.576      0.7866998 
  13081.577      0.7233801 
  13083.577     0.65130407 
  13085.578      0.5722347 
  13087.578     0.48925966 
  13089.579     0.40482363 
   13091.58     0.32778022 
   13093.58      0.2566782 
  13095.581     0.19794601 
  13097.581     0.14992781 
  13099.582     0.11368527 
  13101.582     0.08436203 
  13103.583     0.06263404 
  13105.583     0.04607507 
  13107.584    0.034093898 
  13109.584    0.025521722 
  13111.585    0.019190723 
  13113.586    0.014222347 
  13115.586    0.010910748 
  13117.587    0.008280558 
  13119.587    0.006040066 
  13121.588    0.004676174 
  13123.588    0.003507179 
  13125.589   0.0026304817 
  13127.589    0.002045887 
   13129.59   0.0013639895 
   13131.59   0.0009742922 
  13133.591   0.0005845753 
  13135.592  0.00019485844 
  13137.592  0.00019485844 
  13139.593   9.742922e-05 
   13203.61   9.736299e-05 
    13903.8   9.734838e-05 
  14053.841  9.7395125e-05 
  14103.855  0.00029216104 
  14303.909   9.737954e-05 
   14453.95  0.00029209285 
  14553.977   9.737857e-05 
  14804.045   0.0001947513 
  14854.058  9.7357144e-05 
   15154.14   9.738344e-05 
  15504.235   9.741948e-05 
  15554.249  0.00019478051 
   15704.29  0.00019478051 
   15854.33  9.7367854e-05 
  16004.371  9.7369804e-05 
  16254.439   9.735909e-05 
   16404.48   9.738831e-05 
  16454.494  9.7384414e-05 
  16704.562  0.00019468312 
  16854.602   9.738539e-05 
   17254.71   9.735422e-05 
  17404.752  9.7340584e-05 
  17454.766   9.735811e-05 
   17504.78   9.739123e-05 
  17754.848  0.00019476104 
  18004.914   0.0001947513 
  18405.023   9.740974e-05 
   18505.05   9.737662e-05 
  18655.092  0.00019474156 
  18705.105   0.0007787909 
   18755.12   0.0010713026 
  18805.133   0.0017534922 
  18855.146    0.003992231 
   18905.16    0.008956027 
  18955.174     0.02267959 
  19005.188     0.05853058 
  19055.201    0.104899794 
  19105.215     0.09630522 
  19155.229     0.07363829 
  19205.242      0.0611896 
  19255.256    0.057776704 
   19305.27     0.05998866 
  19355.283     0.06902933 
  19405.297      0.0869519 
   19455.31     0.11852606 
  19505.324     0.17762838 
  19555.338     0.28508008 
  19605.352     0.45112756 
  19655.363      0.6046397 
  19705.379      0.5923283 
  19755.393     0.47466916 
  19805.404     0.37236017 
   19855.42     0.30718985 
  19905.432     0.27039215 
  19955.445     0.25292832 
   20005.46      0.2499771 
   20006.46            0.0 
   20007.46            0.0 
