# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: WFC3 IR Filter Curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_f160w_mjd_005_syn.fits
# wavelength_unit: Angstrom
 wavelength   transmission 
   7450.052            0.0 
   7451.052            0.0 
   7452.052   9.901096e-05 
  7502.0654   9.898123e-05 
  7552.0786  0.00019794265 
  7602.0923  0.00019794265 
   7652.106   0.0024740351 
   7702.119   0.0020795374 
   7752.133   0.0013866887 
   7802.146  0.00019804174 
  10002.741   9.903079e-05 
  13603.719  9.9070436e-05 
  13623.724   9.902087e-05 
   13643.73   9.902087e-05 
  13663.735  0.00021796487 
   13683.74   0.0004558529 
  13703.746  0.00059452176 
  13723.751   0.0008719586 
  13743.757    0.001149792 
  13763.762   0.0015254567 
  13783.768   0.0025949613 
  13803.773   0.0037655688 
  13823.778    0.005115583 
  13843.784    0.007853277 
  13863.789    0.012528768 
  13883.795     0.02042863 
    13903.8    0.033889126 
  13923.806    0.059263848 
  13943.811     0.11517744 
  13963.817     0.20914319 
  13983.822     0.36912286 
  14003.827     0.58213174 
  14023.833     0.75222164 
  14043.838      0.8594695 
  14063.844      0.8946571 
  14083.849      0.9000096 
  14103.855     0.89782894 
   14123.86     0.89376503 
  14143.865      0.8947562 
  14163.871      0.8988201 
  14183.876      0.9079392 
  14203.882       0.921816 
  14223.887     0.93747693 
  14243.893       0.951552 
  14263.898      0.9610675 
  14283.904     0.96820414 
  14303.909      0.9696909 
  14323.914     0.96979004 
   14343.92     0.97028565 
  14363.925      0.9704839 
  14383.931     0.97236717 
  14403.936      0.9745478 
  14423.942      0.9757372 
  14443.947      0.9765302 
  14463.952      0.9771249 
  14483.958      0.9742505 
  14503.963     0.97028565 
  14523.969      0.9650323 
  14543.974     0.96077013 
   14563.98      0.9567062 
  14583.985      0.9545256 
  14603.991      0.9552194 
  14623.996     0.95839125 
  14644.001      0.9625543 
  14664.007     0.96780765 
  14684.012      0.9717725 
  14704.018       0.973854 
  14724.023      0.9729619 
  14744.029      0.9694927 
  14764.034     0.96423936 
  14784.039      0.9549221 
  14804.045      0.9470916 
   14824.05     0.93955845 
  14844.056      0.9326201 
  14864.061      0.9295473 
  14884.067     0.92855614 
  14904.072      0.9300429 
  14924.078      0.9341068 
  14944.083      0.9388646 
  14964.088     0.94580305 
  14984.094      0.9525432 
  15004.099      0.9584904 
  15024.105     0.96374375 
   15044.11     0.96820414 
  15064.116      0.9707812 
  15084.121     0.97355664 
  15104.126     0.97524166 
  15124.132     0.97583634 
  15144.137      0.9757372 
  15164.143       0.973854 
  15184.148     0.97018653 
  15204.154      0.9663209 
  15224.159     0.96166223 
  15244.165      0.9556159 
   15264.17      0.9483801 
  15284.175      0.9411444 
  15304.181     0.93470156 
  15324.186      0.9293491 
  15344.192     0.92657375 
  15364.197     0.92587984 
  15384.203      0.9273667 
  15404.208     0.93152976 
  15424.213      0.9373778 
  15444.219      0.9437215 
  15464.224     0.95075905 
   15484.23      0.9580939 
  15504.235      0.9627525 
  15524.241       0.965627 
  15544.246     0.96751034 
  15564.252     0.96899706 
  15584.257      0.9686997 
  15604.262      0.9690962 
  15624.268       0.968898 
  15644.273     0.96979004 
  15664.279      0.9709795 
  15684.284      0.9733584 
   15704.29     0.97434956 
  15724.295     0.97583634 
  15744.301      0.9769267 
  15764.306     0.97682756 
  15784.311      0.9761337 
  15804.317      0.9745478 
  15824.322     0.97395307 
  15844.328     0.97266454 
  15864.333      0.9715742 
  15884.339      0.9707812 
  15904.344      0.9704839 
  15924.349     0.97028565 
  15944.355       0.970583 
   15964.36      0.9687989 
  15984.366      0.9670147 
  16004.371     0.96384287 
  16024.377     0.95967984 
  16044.382      0.9549221 
  16064.388     0.95026344 
  16084.393     0.94748807 
  16104.398      0.9455056 
  16124.404      0.9446136 
  16144.409      0.9459021 
  16164.415     0.94778544 
   16184.42      0.9512546 
  16204.426     0.95432734 
  16224.431      0.9570036 
  16244.436      0.9572018 
  16264.442      0.9549221 
  16284.447     0.94986695 
  16304.453      0.9436224 
  16324.458      0.9341068 
  16344.464     0.92518604 
  16364.469      0.9164635 
  16384.475      0.9105163 
   16404.48      0.9102189 
  16424.484      0.9124987 
   16444.49      0.9190406 
  16464.496      0.9294482 
  16484.502      0.9409461 
  16504.508      0.9512546 
  16524.514      0.9572018 
  16544.518      0.9574992 
  16564.523      0.9542282 
   16584.53      0.9466951 
  16604.533      0.9381708 
   16624.54     0.93133146 
  16644.545     0.92806053 
   16664.55      0.9303403 
  16684.557      0.9325209 
  16704.562      0.9354945 
  16724.566     0.93470156 
  16744.572      0.9257808 
  16764.578      0.9100207 
  16784.582     0.89257556 
   16804.59      0.8805821 
  16824.594     0.86521846 
    16844.6     0.81367606 
  16864.605      0.6727274 
  16884.611     0.44782412 
  16904.615     0.24641232 
  16924.621     0.12508944 
  16944.627     0.06342688 
  16964.633     0.03339353 
  16984.639    0.018624647 
  17004.643     0.01070496 
  17024.648   0.0066400487 
  17044.654   0.0040629283 
   17064.66   0.0028724975 
  17084.664   0.0017831688 
   17104.67   0.0009905061 
  17124.676  0.00069344346 
  17144.682  0.00069344346 
  17164.688  0.00029726088 
  17184.691  0.00029726088 
  17204.697  0.00029726088 
  17224.703  0.00019814087 
  18224.703  0.00019814087 
  19224.703  0.00019814087 
  19225.703            0.0 
  19226.703            0.0 
