# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: Fudge factor that couldn't be attributed to any specific element
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_cor_004_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission   emissivity
      998.0           0.0          0.0
      999.0           0.0          0.0
     1000.0         1.139          0.0
     8180.0         1.139          0.0
     8360.0         1.179          0.0
     8540.0         1.174          0.0
     8720.0         1.145          0.0
     8900.0         1.213          0.0
     8910.0         1.212          0.0
     8920.0         1.211          0.0
     8930.0         1.211          0.0
     8940.0          1.21          0.0
     8950.0         1.209          0.0
     8960.0         1.209          0.0
     8970.0         1.208          0.0
     8980.0         1.208          0.0
     8990.0         1.207          0.0
     9000.0         1.206          0.0
     9010.0         1.206          0.0
     9020.0         1.205          0.0
     9030.0         1.205          0.0
     9040.0         1.204          0.0
     9050.0         1.203          0.0
     9060.0         1.203          0.0
     9070.0         1.202          0.0
     9080.0         1.202          0.0
     9090.0         1.201          0.0
     9100.0           1.2          0.0
     9110.0           1.2          0.0
     9120.0         1.199          0.0
     9130.0         1.199          0.0
     9140.0         1.198          0.0
     9150.0         1.198          0.0
     9160.0         1.197          0.0
     9170.0         1.197          0.0
     9180.0         1.196          0.0
     9190.0         1.196          0.0
     9200.0         1.195          0.0
     9210.0         1.195          0.0
     9220.0         1.194          0.0
     9230.0         1.194          0.0
     9240.0         1.193          0.0
     9250.0         1.193          0.0
     9260.0         1.192          0.0
     9270.0         1.192          0.0
     9280.0         1.191          0.0
     9290.0         1.191          0.0
     9300.0          1.19          0.0
     9310.0          1.19          0.0
     9320.0         1.189          0.0
     9330.0         1.189          0.0
     9340.0         1.188          0.0
     9350.0         1.188          0.0
     9360.0         1.187          0.0
     9370.0         1.187          0.0
     9380.0         1.186          0.0
     9390.0         1.186          0.0
     9400.0         1.186          0.0
     9410.0         1.185          0.0
     9420.0         1.185          0.0
     9430.0         1.184          0.0
     9440.0         1.184          0.0
     9450.0         1.183          0.0
     9460.0         1.183          0.0
     9470.0         1.183          0.0
     9480.0         1.182          0.0
     9490.0         1.182          0.0
     9500.0         1.182          0.0
     9510.0         1.181          0.0
     9520.0         1.181          0.0
     9530.0          1.18          0.0
     9540.0          1.18          0.0
     9550.0          1.18          0.0
     9560.0         1.179          0.0
     9570.0         1.179          0.0
     9580.0         1.179          0.0
     9590.0         1.178          0.0
     9600.0         1.178          0.0
