# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: UVIS-IR channel selector, i.e. dichroic
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_csm_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
     7998.0           0.0 
     7999.0           0.0 
     8000.0       0.98167 
     8200.0       0.98458 
     8400.0       0.98687 
     8600.0       0.98867 
     8800.0       0.98983 
     9000.0    0.99077004 
     9200.0    0.99130994 
     9400.0    0.99174005 
     9600.0       0.99235 
     9800.0       0.99273 
    10000.0       0.99306 
    10200.0    0.99347997 
    10400.0    0.99351996 
    10600.0       0.99383 
    10800.0    0.99367994 
    11000.0    0.99371004 
    11200.0       0.99396 
    11400.0       0.99367 
    11600.0    0.99371004 
    11800.0       0.99373 
    12000.0       0.99362 
    12200.0    0.99358004 
    12400.0       0.99363 
    12600.0        0.9934 
    12800.0       0.99336 
    13000.0       0.99321 
    13200.0       0.99334 
    13400.0    0.99314004 
    13600.0       0.99292 
    13800.0       0.99276 
    13830.0    0.99288005 
    14000.0    0.99217004 
    14200.0       0.99219 
    14400.0       0.99189 
    14600.0       0.99173 
    14800.0        0.9914 
    15000.0       0.99106 
    15200.0       0.99096 
    15400.0       0.99069 
    15600.0       0.99025 
    15800.0       0.98993 
    16000.0    0.98960996 
    16200.0       0.98946 
    16400.0       0.98902 
    16600.0       0.98887 
    16800.0       0.98843 
    17000.0       0.98826 
    17200.0       0.98794 
    17400.0       0.98739 
    17600.0       0.98699 
    17800.0    0.98677003 
    18000.0    0.98643994 
    18200.0    0.98630995 
    18400.0    0.98591006 
    18600.0       0.98535 
    18800.0       0.98489 
    19000.0       0.98425 
    19200.0       0.98382 
    19400.0    0.98337996 
    19600.0       0.98319 
    19800.0       0.98288 
    20000.0       0.98276 
    20001.0           0.0 
    20002.0           0.0 
