# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: IR detector gain in the form of a TER curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_dn_002_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission 
      998.0           0.0 
      999.0           0.0 
     1000.0           0.4 
    20000.0           0.4 
    20001.0           0.0 
    20002.0           0.0 
