# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: IR channel fold mirror
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_fold_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
     7998.0           0.0 
     7999.0           0.0 
     8000.0       0.98152 
     8200.0       0.98436 
     8400.0       0.98667 
     8600.0    0.98841006 
     8800.0       0.98952 
     9000.0    0.99051005 
     9200.0       0.99117 
     9400.0    0.99160004 
     9600.0       0.99219 
     9800.0    0.99254996 
    10000.0    0.99288005 
    10200.0       0.99316 
    10400.0        0.9934 
    10600.0        0.9936 
    10800.0       0.99354 
    11000.0       0.99353 
    11200.0        0.9936 
    11400.0       0.99364 
    11600.0    0.99347997 
    11800.0       0.99349 
    12000.0       0.99361 
    12200.0    0.99351996 
    12400.0       0.99353 
    12600.0        0.9933 
    12800.0    0.99327004 
    13000.0    0.99311996 
    13200.0       0.99305 
    13400.0       0.99307 
    13600.0       0.99264 
    13800.0    0.99257004 
    13830.0    0.99241996 
    14000.0    0.99191004 
    14200.0       0.99193 
    14400.0    0.99170995 
    14600.0    0.99148005 
    14800.0       0.99124 
    15000.0       0.99092 
    15200.0    0.99078006 
    15400.0       0.99049 
    15600.0       0.99012 
    15800.0       0.98985 
    16000.0    0.98954004 
    16200.0       0.98926 
    16400.0       0.98896 
    16600.0       0.98873 
    16800.0    0.98813003 
    17000.0       0.98797 
    17200.0       0.98759 
    17400.0       0.98724 
    17600.0       0.98693 
    17800.0    0.98646003 
    18000.0    0.98617995 
    18200.0       0.98582 
    18400.0       0.98553 
    18600.0    0.98494005 
    18800.0    0.98453003 
    19000.0       0.98385 
    19200.0       0.98349 
    19400.0       0.98299 
    19600.0       0.98285 
    19800.0       0.98265 
    20000.0       0.98239 
    20001.0           0.0 
    20002.0           0.0 
