# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: cold mask for IR channel
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_mask_001_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission 
     7998.0           0.0 
     7999.0           0.0 
     8000.0          0.89 
     8200.0          0.89 
     8400.0          0.89 
     8600.0          0.89 
     8800.0          0.89 
     9000.0          0.89 
     9200.0          0.89 
     9400.0          0.89 
     9600.0          0.89 
     9800.0          0.89 
    10000.0          0.89 
    10200.0          0.89 
    10400.0          0.89 
    10600.0          0.89 
    10800.0          0.89 
    11000.0          0.89 
    11200.0          0.89 
    11400.0          0.89 
    11600.0          0.89 
    11800.0          0.89 
    12000.0          0.89 
    12200.0          0.89 
    12400.0          0.89 
    12600.0          0.89 
    12800.0          0.89 
    13000.0          0.89 
    13200.0          0.89 
    13400.0          0.89 
    13600.0          0.89 
    13800.0          0.89 
    13830.0          0.89 
    14000.0          0.89 
    14200.0          0.89 
    14400.0          0.89 
    14600.0          0.89 
    14800.0          0.89 
    15000.0          0.89 
    15200.0          0.89 
    15400.0          0.89 
    15600.0          0.89 
    15800.0          0.89 
    16000.0          0.89 
    16200.0          0.89 
    16400.0          0.89 
    16600.0          0.89 
    16800.0          0.89 
    17000.0          0.89 
    17200.0          0.89 
    17400.0          0.89 
    17600.0          0.89 
    17800.0          0.89 
    18000.0          0.89 
    18200.0          0.89 
    18400.0          0.89 
    18600.0          0.89 
    18800.0          0.89 
    19000.0          0.89 
    19200.0          0.89 
    19400.0          0.89 
    19600.0          0.89 
    19800.0          0.89 
    20000.0          0.89 
    20001.0           0.0 
    20002.0           0.0 
