# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: first IR channel imaging mirror
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_mir1_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
     7998.0           0.0 
     7999.0           0.0 
     8000.0     0.9786814 
     8200.0    0.98568726 
     8400.0     0.9874046 
     8600.0     0.9887714 
     8800.0     0.9896566 
     9000.0    0.99018216 
     9200.0     0.9905889 
     9400.0    0.99092793 
     9600.0    0.99125654 
     9800.0    0.99156153 
    10000.0    0.99177605 
    10200.0     0.9921351 
    10400.0    0.99220663 
    10600.0     0.9922808 
    10800.0     0.9923374 
    11000.0     0.9922045 
    11200.0     0.9922704 
    11400.0     0.9920238 
    11600.0     0.9920517 
    11800.0     0.9918808 
    12000.0     0.9917017 
    12200.0    0.99164164 
    12400.0     0.9916536 
    12600.0    0.99152166 
    12800.0     0.9914391 
    13000.0     0.9911521 
    13200.0     0.9913644 
    13400.0      0.991349 
    13600.0    0.99098796 
    13800.0     0.9909989 
    13830.0     0.9906741 
    14000.0     0.9902703 
    14200.0     0.9899409 
    14400.0     0.9895859 
    14600.0     0.9892287 
    14800.0     0.9890064 
    15000.0    0.98863924 
    15200.0    0.98842186 
    15400.0     0.9879941 
    15600.0     0.9875513 
    15800.0      0.987352 
    16000.0     0.9870439 
    16200.0     0.9866805 
    16400.0     0.9863236 
    16600.0    0.98596793 
    16800.0     0.9855088 
    17000.0    0.98517936 
    17200.0     0.9848842 
    17400.0    0.98447776 
    17600.0    0.98412967 
    17800.0    0.98370826 
    18000.0     0.9835317 
    18200.0     0.9831779 
    18400.0    0.98285127 
    18600.0     0.9824818 
    18800.0     0.9819638 
    19000.0     0.9812515 
    19200.0    0.98083895 
    19400.0    0.98031294 
    19600.0     0.9801809 
    19800.0      0.980006 
    20000.0     0.9799265 
    20001.0           0.0 
    20002.0           0.0 
