# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: second IR channel imaging mirror
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_mir2_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
     7998.0           0.0 
     7999.0           0.0 
     8000.0     0.9820151 
     8200.0    0.98729277 
     8400.0    0.98878324 
     8600.0     0.9897282 
     8800.0     0.9905222 
     9000.0    0.99094015 
     9200.0     0.9912485 
     9400.0     0.9914254 
     9600.0     0.9917036 
     9800.0     0.9918655 
    10000.0     0.9921077 
    10200.0     0.9923728 
    10400.0     0.9925316 
    10600.0     0.9926148 
    10800.0     0.9925461 
    11000.0    0.99252295 
    11200.0     0.9925116 
    11400.0      0.992343 
    11600.0    0.99220955 
    11800.0    0.99203783 
    12000.0     0.9919823 
    12200.0    0.99183345 
    12400.0     0.9917963 
    12600.0     0.9916907 
    12800.0    0.99147356 
    13000.0    0.99136084 
    13200.0     0.9917124 
    13400.0    0.99152434 
    13600.0     0.9910859 
    13800.0    0.99086845 
    13830.0    0.99088854 
    14000.0     0.9904352 
    14200.0     0.9901072 
    14400.0    0.98984456 
    14600.0    0.98957336 
    14800.0     0.9892124 
    15000.0    0.98881173 
    15200.0     0.9886563 
    15400.0     0.9881881 
    15600.0    0.98776335 
    15800.0    0.98750716 
    16000.0     0.9871349 
    16200.0    0.98674065 
    16400.0    0.98643184 
    16600.0      0.986161 
    16800.0     0.9856217 
    17000.0    0.98540324 
    17200.0    0.98506427 
    17400.0    0.98457146 
    17600.0     0.9842949 
    17800.0     0.9838241 
    18000.0    0.98359054 
    18200.0     0.9832335 
    18400.0    0.98309654 
    18600.0      0.982735 
    18800.0    0.98225474 
    19000.0     0.9815372 
    19200.0      0.981099 
    19400.0     0.9807236 
    19600.0     0.9806616 
    19800.0     0.9804443 
    20000.0    0.98046565 
    20001.0           0.0 
    20002.0           0.0 
