# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# date_created: 2019-11-19
# description: IR detector quantum efficiency
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_qe_003_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission 
     3998.0           0.0 
     3999.0           0.0 
     4000.0      0.359568 
     4500.0        0.3058 
     5000.0      0.340824 
     5500.0      0.397848 
     6000.0      0.463848 
     6500.0    0.52430403 
     7000.0       0.63404 
     7500.0    0.68244004 
     8000.0    0.71975195 
     8500.0      0.729696 
     9000.0      0.761464 
     9500.0      0.768152 
    10000.0      0.768856 
    10500.0      0.797632 
    11000.0        0.7942 
    11500.0       0.79596 
    12000.0      0.795608 
    12500.0    0.79683995 
    13000.0      0.789096 
    13500.0      0.790856 
    14000.0      0.787424 
    14500.0    0.77862394 
    15000.0       0.78804 
    15500.0      0.780032 
    16000.0    0.78249604 
    16200.0    0.78540003 
    16400.0      0.786368 
    16600.0      0.792704 
    16800.0    0.76559997 
    17000.0      0.734712 
    17200.0      0.693528 
    17400.0    0.54146403 
    17600.0        0.2376 
    17800.0      0.061688 
    18000.0   0.015751999 
    18001.0           0.0 
    18002.0           0.0 
