# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: Refractive Corrector Plate transmission curve
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_rcp_001_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission 
     7998.0           0.0 
     7999.0           0.0 
     8000.0     0.9570236 
     8200.0    0.96324366 
     8400.0     0.9703962 
     8600.0     0.9708031 
     8800.0    0.96918225 
     9000.0     0.9666384 
     9200.0    0.96323365 
     9400.0     0.9589908 
     9600.0     0.9562357 
     9800.0    0.95375305 
    10000.0     0.9520937 
    10200.0    0.95134646 
    10400.0     0.9510255 
    10600.0     0.9513638 
    10800.0     0.9526689 
    11000.0    0.95449257 
    11200.0    0.95683914 
    11400.0     0.9594107 
    11600.0    0.96246415 
    11800.0    0.96550125 
    12000.0     0.9687174 
    12200.0     0.9714244 
    12400.0     0.9734205 
    12600.0    0.97678286 
    12800.0     0.9799306 
    13000.0    0.98215467 
    13200.0     0.9838337 
    13400.0     0.9842764 
    13600.0     0.9845166 
    13800.0    0.95335853 
    13830.0    0.95037997 
    14000.0    0.97155374 
    14200.0     0.9842762 
    14400.0     0.9880078 
    14600.0     0.9887342 
    14800.0     0.9889647 
    15000.0    0.98797315 
    15200.0    0.98663247 
    15400.0    0.98524576 
    15600.0    0.98382986 
    15800.0    0.98197436 
    16000.0     0.9796815 
    16200.0     0.9782685 
    16400.0     0.9752485 
    16600.0     0.9730074 
    16800.0     0.9707107 
    17000.0    0.96793276 
    17200.0     0.9652416 
    17400.0     0.9627569 
    17600.0    0.95987266 
    17800.0     0.9568275 
    18000.0     0.9540872 
    18200.0      0.951175 
    18400.0     0.9483537 
    18600.0     0.9453962 
    18800.0     0.9422529 
    19000.0     0.9395027 
    19200.0     0.9365288 
    19400.0     0.9343666 
    19600.0     0.9316871 
    19800.0    0.92896247 
    20000.0     0.9265075 
    20001.0           0.0 
    20002.0           0.0 
