# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# description: entrance window for the IR channel
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_win_001_syn.fits
# wavelength_unit: Angstrom
 wavelength  transmission 
     7998.0           0.0 
     7999.0           0.0 
     8000.0       0.96778 
     8200.0       0.97206 
     8400.0    0.97887003 
     8600.0       0.97656 
     8800.0       0.97502 
     9000.0    0.97369003 
     9200.0       0.97028 
     9400.0    0.96760005 
     9600.0    0.96510005 
     9800.0       0.96294 
    10000.0    0.96112996 
    10200.0       0.95957 
    10400.0       0.95968 
    10600.0    0.96019995 
    10800.0       0.96127 
    11000.0       0.96315 
    11200.0       0.96435 
    11400.0       0.96683 
    11600.0    0.96980006 
    11800.0    0.97299004 
    12000.0       0.97529 
    12200.0       0.97778 
    12400.0    0.98036003 
    12600.0       0.98361 
    12800.0       0.98592 
    13000.0       0.98829 
    13200.0    0.99030995 
    13400.0       0.99097 
    13600.0       0.99092 
    13800.0       0.97207 
    13830.0          0.97 
    14000.0       0.98406 
    14200.0       0.99216 
    14400.0       0.99439 
    14600.0       0.99472 
    14800.0    0.99450994 
    15000.0       0.99432 
    15200.0       0.99293 
    15400.0    0.99130994 
    15600.0       0.99096 
    15800.0       0.98885 
    16000.0       0.98823 
    16200.0    0.98547995 
    16400.0    0.98337996 
    16600.0       0.98192 
    16800.0    0.97887003 
    17000.0        0.9778 
    17200.0       0.97442 
    17400.0       0.97188 
    17600.0       0.96945 
    17800.0       0.96723 
    18000.0       0.96457 
    18200.0       0.96192 
    18400.0       0.95915 
    18600.0       0.95682 
    18800.0       0.95371 
    19000.0       0.95137 
    19200.0       0.94965 
    19400.0       0.94715 
    19600.0       0.94365 
    19800.0       0.94206 
    20000.0       0.94023 
    20001.0           0.0 
    20002.0           0.0 
